setting,method,checkpoint,eligible_episodes,scored_episodes,overall_coverage,eligible_score_coverage,scored_failures,scored_successes,failure_coverage,auc,ap,task_macro_auc,task_macro_ap,macro_tasks
task_heldout,margin_low__mean,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5532156630234011,0.04122768614767475,0.4676726020604429,0.048551899931245465,36
task_heldout,margin_low__mean,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5186916648271099,0.03555790856195011,0.4766058813646915,0.050403187508621716,36
task_heldout,margin_low__mean,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5423613560622613,0.03973101665393906,0.38677128578554887,0.04263712971298787,36
task_heldout,margin_low__mean,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5292982028587745,0.0626323065400182,0.37233108875828264,0.16758966841109596,32
task_heldout,margin_low__mean,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.45394945825667155,0.11294708185417732,0.37629593057610183,0.32319824249056944,29
task_heldout,margin_low__mean,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.4707009700777147,0.19161635901395582,0.35850093948082906,0.43485127767894804,25
task_heldout,margin_low__mean,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.5010821546020048,0.03510036599982716,0.26333104839473276,0.03874920646598776,36
task_heldout,margin_low__mean,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5535125273810939,0.039731506431323775,0.4447143877988043,0.047241786698289795,36
task_heldout,margin_low__mean,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5564982694016629,0.04011090327709415,0.4531014909897515,0.04776313451958193,36
task_heldout,margin_low__max,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5532156630234011,0.04122768614767475,0.4676726020604429,0.048551899931245465,36
task_heldout,margin_low__max,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5333205625647383,0.038536385796684704,0.4380307890482622,0.054117603091742676,36
task_heldout,margin_low__max,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5439370365663077,0.0411247149450077,0.42150218489180263,0.04973742279764616,36
task_heldout,margin_low__max,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.4400272189530657,0.045248575078206774,0.35399388028807993,0.1560819312059234,32
task_heldout,margin_low__max,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.435501486059348,0.10680917582780412,0.33263237404358426,0.31064913259345217,29
task_heldout,margin_low__max,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.4691580300207601,0.1638518882900241,0.39689099892019236,0.44794143215488474,25
task_heldout,margin_low__max,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.6277129334042741,0.06424885640228159,0.5523583462669353,0.1128720791389904,36
task_heldout,token_collapse__current,q0,15600,15600,1.0,1.0,564,15036,1.0,0.6218337809587958,0.06592833606838462,0.49361924366738097,0.04959407018992555,36
task_heldout,token_collapse__current,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5608425712097114,0.043112606136294876,0.5409474393489365,0.05270911537279625,36
task_heldout,token_collapse__current,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5908007534419703,0.054779497028753295,0.4062486767939278,0.07462670570441948,36
