setting,method,scope,events,detected,median_delay_detected,within2_fraction_all_events,recall_before0,recall_before2,recall_before4
task_heldout,deviation_global__mean,drop_related_primary_reason,208,21,-2.0,0.02403846153846154,0.0673076923076923,0.057692307692307696,0.04807692307692308
task_heldout,deviation_step__current,all_observed_releases_in_failures,397,79,5.0,0.04030226700251889,0.055415617128463476,0.0327455919395466,0.027707808564231738
task_heldout,deviation_step__current,drop_related_primary_reason,208,69,6.0,0.07211538461538461,0.07211538461538461,0.028846153846153848,0.02403846153846154
task_heldout,deviation_step__mean,all_observed_releases_in_failures,397,46,7.0,0.0025188916876574307,0.030226700251889168,0.027707808564231738,0.027707808564231738
task_heldout,deviation_step__mean,drop_related_primary_reason,208,46,7.0,0.004807692307692308,0.057692307692307696,0.052884615384615384,0.052884615384615384
task_heldout,clock,all_observed_releases_in_failures,397,253,9.0,0.017632241813602016,0.037783375314861464,0.0327455919395466,0.020151133501259445
task_heldout,clock,drop_related_primary_reason,208,64,17.0,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.0
task_heldout,random,all_observed_releases_in_failures,397,37,8.0,0.007556675062972292,0.0327455919395466,0.0327455919395466,0.027707808564231738
task_heldout,random,drop_related_primary_reason,208,16,9.5,0.009615384615384616,0.014423076923076924,0.014423076923076924,0.004807692307692308
task_heldout,v7_unlabeled_budget,all_observed_releases_in_failures,397,333,13.0,0.005037783375314861,0.042821158690176324,0.04030226700251889,0.03526448362720403
task_heldout,v7_unlabeled_budget,drop_related_primary_reason,208,155,10.0,0.009615384615384616,0.019230769230769232,0.014423076923076924,0.004807692307692308
