run_role,episode_index,init_state_id,failure_family,window,feature,score
preliminary_gpu4,5,20,success,post5,front_route_acceleration,0.012357704672437811
preliminary_gpu4,5,20,success,post5,back_route_acceleration,0.007347048232763202
preliminary_gpu4,5,20,success,post5,front_chunk_jump_h,0.04801472183316946
preliminary_gpu4,5,20,success,post5,back_chunk_jump_h,0.042532628402113914
preliminary_gpu4,5,20,success,post5,layer5_state_action_gap,0.7151771783828735
preliminary_gpu4,5,20,success,around5,frozen_conjunction_margin,-0.002309205951176082
preliminary_gpu4,5,20,success,around5,layer5_gap_log_ratio,0.03602056926857102
preliminary_gpu4,5,20,success,around5,back_jump_log_ratio,0.08463982865397832
preliminary_gpu4,5,20,success,around5,nominal_action_log_margin,0.3418014254343377
preliminary_gpu4,5,20,success,around5,phase_match_distance,0.04129905626177788
preliminary_gpu4,5,20,success,around5,front_late_flow_wj,0.03636646270751953
preliminary_gpu4,5,20,success,around5,back_late_flow_wj,0.03142718970775604
preliminary_gpu4,5,20,success,around5,front_route_acceleration,0.013028787314263546
preliminary_gpu4,5,20,success,around5,back_route_acceleration,0.008493623649042345
preliminary_gpu4,5,20,success,around5,front_chunk_jump_h,0.05134690832346678
preliminary_gpu4,5,20,success,around5,back_chunk_jump_h,0.042532628402113914
preliminary_gpu4,5,20,success,around5,layer5_state_action_gap,0.7151771783828735
preliminary_gpu4,6,0,success,pre5,frozen_conjunction_margin,0.0026315019026607015
preliminary_gpu4,6,0,success,pre5,layer5_gap_log_ratio,0.0195170695746386
preliminary_gpu4,6,0,success,pre5,back_jump_log_ratio,0.0026315019026607015
preliminary_gpu4,6,0,success,pre5,nominal_action_log_margin,0.30769953971344355
preliminary_gpu4,6,0,success,pre5,phase_match_distance,0.03633202825273786
preliminary_gpu4,6,0,success,pre5,front_late_flow_wj,0.033977210521698
preliminary_gpu4,6,0,success,pre5,back_late_flow_wj,0.02775503136217594
preliminary_gpu4,6,0,success,pre5,front_route_acceleration,0.012618685122146745
preliminary_gpu4,6,0,success,pre5,back_route_acceleration,0.0077357205922209335
preliminary_gpu4,6,0,success,pre5,front_chunk_jump_h,0.03836073353886604
preliminary_gpu4,6,0,success,pre5,back_chunk_jump_h,0.029676086269319057
preliminary_gpu4,6,0,success,pre5,layer5_state_action_gap,0.2304057627916336
preliminary_gpu4,6,0,success,at,frozen_conjunction_margin,-0.22720752397465543
preliminary_gpu4,6,0,success,at,layer5_gap_log_ratio,-0.22720752397465543
preliminary_gpu4,6,0,success,at,back_jump_log_ratio,-0.032723460702928454
preliminary_gpu4,6,0,success,at,nominal_action_log_margin,0.20892560023472453
preliminary_gpu4,6,0,success,at,phase_match_distance,0.03931092524102756
preliminary_gpu4,6,0,success,at,front_late_flow_wj,0.034506868571043015
preliminary_gpu4,6,0,success,at,back_late_flow_wj,0.028200292959809303
preliminary_gpu4,6,0,success,at,front_route_acceleration,0.012851362115040085
preliminary_gpu4,6,0,success,at,back_route_acceleration,0.008153921022426663
preliminary_gpu4,6,0,success,at,front_chunk_jump_h,0.04183755721896887
preliminary_gpu4,6,0,success,at,back_chunk_jump_h,0.03879311494529247
preliminary_gpu4,6,0,success,at,layer5_state_action_gap,0.23741982877254486
