feat,K,t,variant
shuf,8,20,emp_pool_w8
shuf,8,20,emp_time
shuf,8,20,esteps
shuf,8,20,esteps_w8
shuf,8,20,dwell
shuf,8,20,stayp_w8
shuf,8,20,nll_w8
shuf,8,25,absorb
shuf,8,25,absorb_w8
shuf,8,25,absorb_drift
shuf,8,25,absorb_max_w8
shuf,8,25,frac_hirisk_w8
shuf,8,25,emp_pool
shuf,8,25,emp_pool_w8
shuf,8,25,emp_time
shuf,8,25,esteps
shuf,8,25,esteps_w8
shuf,8,25,dwell
shuf,8,25,stayp_w8
shuf,8,25,nll_w8
shuf,8,30,absorb
shuf,8,30,absorb_w8
shuf,8,30,absorb_drift
shuf,8,30,absorb_max_w8
shuf,8,30,frac_hirisk_w8
shuf,8,30,emp_pool
shuf,8,30,emp_pool_w8
shuf,8,30,emp_time
shuf,8,30,esteps
shuf,8,30,esteps_w8
shuf,8,30,dwell
shuf,8,30,stayp_w8
shuf,8,30,nll_w8
shuf,16,20,absorb
shuf,16,20,absorb_w8
shuf,16,20,absorb_drift
shuf,16,20,absorb_max_w8
shuf,16,20,frac_hirisk_w8
shuf,16,20,emp_pool
shuf,16,20,emp_pool_w8
shuf,16,20,emp_time
shuf,16,20,esteps
shuf,16,20,esteps_w8
shuf,16,20,dwell
shuf,16,20,stayp_w8
shuf,16,20,nll_w8
shuf,16,25,absorb
shuf,16,25,absorb_w8
shuf,16,25,absorb_drift
shuf,16,25,absorb_max_w8
shuf,16,25,frac_hirisk_w8
shuf,16,25,emp_pool
shuf,16,25,emp_pool_w8
shuf,16,25,emp_time
shuf,16,25,esteps
shuf,16,25,esteps_w8
shuf,16,25,dwell
shuf,16,25,stayp_w8
shuf,16,25,nll_w8
shuf,16,30,absorb
shuf,16,30,absorb_w8
shuf,16,30,absorb_drift
shuf,16,30,absorb_max_w8
shuf,16,30,frac_hirisk_w8
shuf,16,30,emp_pool
shuf,16,30,emp_pool_w8
shuf,16,30,emp_time
shuf,16,30,esteps
shuf,16,30,esteps_w8
shuf,16,30,dwell
shuf,16,30,stayp_w8
shuf,16,30,nll_w8
shuf,32,20,absorb
shuf,32,20,absorb_w8
shuf,32,20,absorb_drift
shuf,32,20,absorb_max_w8
shuf,32,20,frac_hirisk_w8
shuf,32,20,emp_pool
shuf,32,20,emp_pool_w8
shuf,32,20,emp_time
shuf,32,20,esteps
shuf,32,20,esteps_w8
shuf,32,20,dwell
shuf,32,20,stayp_w8
shuf,32,20,nll_w8
shuf,32,25,absorb
shuf,32,25,absorb_w8
shuf,32,25,absorb_drift
shuf,32,25,absorb_max_w8
shuf,32,25,frac_hirisk_w8
shuf,32,25,emp_pool
shuf,32,25,emp_pool_w8
shuf,32,25,emp_time
shuf,32,25,esteps
shuf,32,25,esteps_w8
shuf,32,25,dwell
shuf,32,25,stayp_w8
shuf,32,25,nll_w8
shuf,32,30,absorb
shuf,32,30,absorb_w8
shuf,32,30,absorb_drift
shuf,32,30,absorb_max_w8
shuf,32,30,frac_hirisk_w8
shuf,32,30,emp_pool
shuf,32,30,emp_pool_w8
shuf,32,30,emp_time
shuf,32,30,esteps
shuf,32,30,esteps_w8
shuf,32,30,dwell
shuf,32,30,stayp_w8
shuf,32,30,nll_w8
shuf,64,20,absorb
shuf,64,20,absorb_w8
shuf,64,20,absorb_drift
shuf,64,20,absorb_max_w8
shuf,64,20,frac_hirisk_w8
shuf,64,20,emp_pool
shuf,64,20,emp_pool_w8
shuf,64,20,emp_time
shuf,64,20,esteps
shuf,64,20,esteps_w8
shuf,64,20,dwell
shuf,64,20,stayp_w8
shuf,64,20,nll_w8
shuf,64,25,absorb
shuf,64,25,absorb_w8
shuf,64,25,absorb_drift
shuf,64,25,absorb_max_w8
shuf,64,25,frac_hirisk_w8
shuf,64,25,emp_pool
shuf,64,25,emp_pool_w8
shuf,64,25,emp_time
shuf,64,25,esteps
shuf,64,25,esteps_w8
shuf,64,25,dwell
shuf,64,25,stayp_w8
shuf,64,25,nll_w8
shuf,64,30,absorb
shuf,64,30,absorb_w8
shuf,64,30,absorb_drift
shuf,64,30,absorb_max_w8
shuf,64,30,frac_hirisk_w8
shuf,64,30,emp_pool
shuf,64,30,emp_pool_w8
shuf,64,30,emp_time
shuf,64,30,esteps
shuf,64,30,esteps_w8
shuf,64,30,dwell
shuf,64,30,stayp_w8
shuf,64,30,nll_w8
