calibration,score_kind,method,window,scope,metric,estimate,lo,hi,tasks,first_query
episode,calibrated_rank,relative_magnitude,all_comparable_queries,all,old_ac_auc,0.7076907123880614,0.6537019709195272,0.7598001970840528,36,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,all,delta_control,-0.06180892278432705,-0.08893108846931098,-0.03404905888157934,36,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,all,delta_old_ac,-0.054531279126460754,-0.08683783991947464,-0.020043698933747134,36,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,excluding_S05,auc,0.6581477859400022,0.6186864231727344,0.6985169242492036,35,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,excluding_S05,control_auc,0.723462082624334,0.6706898352533939,0.7715621793870655,35,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,excluding_S05,old_ac_auc,0.7155645255348867,0.6623799196760415,0.7661805168692843,35,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,excluding_S05,delta_control,-0.06531429668433168,-0.09400267264818389,-0.037847216665293094,35,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,excluding_S05,delta_old_ac,-0.05741673959488446,-0.08975064676632553,-0.023709243572903993,35,8
episode,raw_score,ac_reference,all_comparable_queries,all,auc,0.7002193995242998,0.6434421853842117,0.753468912117012,36,8
episode,raw_score,ac_reference,all_comparable_queries,all,control_auc,0.7002193995242998,0.6434421853842117,0.753468912117012,36,8
episode,raw_score,ac_reference,all_comparable_queries,all,old_ac_auc,0.7076907123880614,0.6537019709195272,0.7598001970840528,36,8
episode,raw_score,ac_reference,all_comparable_queries,all,delta_control,0.0,0.0,0.0,36,8
episode,raw_score,ac_reference,all_comparable_queries,all,delta_old_ac,-0.007471312863761502,-0.015659663191275364,0.00014843990650352195,36,8
episode,raw_score,ac_reference,all_comparable_queries,excluding_S05,auc,0.7083293893097299,0.6531187911403504,0.7607127406970026,35,8
episode,raw_score,ac_reference,all_comparable_queries,excluding_S05,control_auc,0.7083293893097299,0.6531187911403504,0.7607127406970026,35,8
episode,raw_score,ac_reference,all_comparable_queries,excluding_S05,old_ac_auc,0.7155645255348867,0.6623799196760415,0.7661805168692843,35,8
episode,raw_score,ac_reference,all_comparable_queries,excluding_S05,delta_control,0.0,0.0,0.0,35,8
episode,raw_score,ac_reference,all_comparable_queries,excluding_S05,delta_old_ac,-0.007235136225156753,-0.015524101504097514,0.0006920541266946135,35,8
episode,raw_score,relative_low,all_comparable_queries,all,auc,0.6363508180602282,0.5852793265873711,0.6830748268928001,36,8
episode,raw_score,relative_low,all_comparable_queries,all,control_auc,0.7002193995242998,0.6434421853842117,0.753468912117012,36,8
episode,raw_score,relative_low,all_comparable_queries,all,old_ac_auc,0.7076907123880614,0.6537019709195272,0.7598001970840528,36,8
episode,raw_score,relative_low,all_comparable_queries,all,delta_control,-0.06386858146407176,-0.09479952589575007,-0.03747222402647468,36,8
episode,raw_score,relative_low,all_comparable_queries,all,delta_old_ac,-0.07133989432783329,-0.10131037000318681,-0.04593848034706711,36,8
episode,raw_score,relative_low,all_comparable_queries,excluding_S05,auc,0.6410784234830915,0.5883635862879976,0.6891315597108234,35,8
