channel,const_frac,switch_rate,n_distinct,dead,best_excess,sign,thr,tp_lead4,fp_lead4,tp_lead0,fp_lead0,median_lead
flow:flow_speed:L3:s9,0.0,1.0,218084,False,-187,-1,2.239122252464295,35.0,85.0,60.0,99.0,5.0
flow:state_mobility:L15:s3,0.0,0.9138043793118859,157982,False,-188,1,3.2814720678329468,34.0,104.0,38.0,147.0,12.0
flow:state_mobility:L15:s0,0.0,0.9137982368057433,158019,False,-188,1,3.280709438323975,34.0,104.0,38.0,147.0,12.0
deriv:log_mobility:front:s9,0.0,0.9138089216693693,201741,False,-188,-1,2.705774760246278,34.0,121.0,34.0,135.0,12.0
flow:state_mobility:L15:s6,0.0,0.9138057041661518,158052,False,-188,1,3.2812707901000984,34.0,104.0,38.0,147.0,12.0
flow:state_mobility:L15:s9,0.0,0.9137997651197716,158157,False,-188,1,3.2829377555847175,34.0,104.0,38.0,147.0,12.0
flow:token_entropy:L14:s6,0.0,0.9998694675423165,36145,False,-188,1,1.410822305679322,34.0,95.0,34.0,127.0,13.5
flow:action_consensus:L15:s0,0.0,0.9999124057628391,39248,False,-188,1,1.4186385869979858,34.0,100.0,53.0,127.0,6.0
deriv:log_mobility:L4:s9,0.0,0.9138089216693693,202677,False,-188,-1,2.7354324626922613,34.0,120.0,34.0,126.0,12.0
flow:conditional_energy:L14:s6,0.0,1.0,217400,False,-188,1,5.181304759979248,34.0,158.0,35.0,165.0,36.0
flow:conditional_effective_rank:L12:s3,0.0,1.0,209903,False,-188,-1,1.7114404392242437,34.0,148.0,39.0,151.0,18.0
hb:partial_query_d1:L13:-,0.0,0.9138089216693693,206282,False,-188,-1,1.4571937012672431,34.0,187.0,34.0,188.0,47.0
hb:flow_settling_log_ratio:L5:-,0.0,0.999991554054054,218158,False,-188,1,3.3975740909576415,34.0,150.0,36.0,176.0,27.0
flow:token_entropy:L14:s3,0.0,0.9998740563260687,27763,False,-188,1,1.395393154621125,34.0,120.0,34.0,141.0,14.0
deriv:log_state_mobility:L4:s9,0.0,0.9138089216693693,189591,False,-189,1,2.617462358474732,33.0,167.0,33.0,174.0,18.0
flow:state_mobility:L3:s9,0.0,0.9138062719608373,190266,False,-189,1,5.373188190460221,33.0,90.0,40.0,146.0,14.0
flow:token_differentiation:L15:s3,0.0,0.9999236645573568,34535,False,-189,-1,1.389799659252168,33.0,141.0,46.0,151.0,7.5
