prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,action,back_12_15,4,token_dispersion,0.4444444444444444,0.4444444444444444,0.0,-0.1666666716337204,0.14791667107492673,1.0,1.0,36,36
1,action,back_12_15,5,consensus_distance,0.4722222222222222,0.4722222222222222,0.0,-0.16041667200624943,0.0833333358168602,1.0,1.0,36,36
1,action,back_12_15,5,token_dispersion,0.4444444444444444,0.4444444444444444,0.0,-0.16041667200624943,0.10486111231148239,1.0,1.0,36,36
1,action,back_12_15,6,token_dispersion,0.4444444444444444,0.4444444444444444,0.0,-0.16041667200624943,0.10486111231148239,1.0,1.0,36,36
1,action,front_2_5,0,entropy,0.5,0.5,0.0,-0.1541666707023978,0.1666666716337204,1.0,1.0,36,36
1,action,front_2_5,0,top1_mass,0.4444444444444444,0.4444444444444444,0.0,-0.0833333358168602,0.09861111184582107,1.0,1.0,36,36
1,action,front_2_5,1,entropy,0.5,0.5,0.0,-0.1111111119389534,0.1111111119389534,1.0,1.0,36,36
1,action,front_2_5,2,consensus_distance,0.5277777777777778,0.5277777777777778,0.0,-0.1666666716337204,0.15416667070239776,1.0,1.0,36,36
1,action,front_2_5,2,token_dispersion,0.5,0.5,0.0,-0.1388888955116272,0.0555555559694767,1.0,1.0,36,36
1,action,front_2_5,3,token_dispersion,0.5,0.5,0.0,-0.1388888955116272,0.0555555559694767,1.0,1.0,36,36
1,action,front_2_5,4,consensus_distance,0.5277777777777778,0.5277777777777778,0.0,-0.1666666716337204,0.12638889458030456,1.0,1.0,36,36
1,action,front_2_5,4,entropy,0.5277777777777778,0.5277777777777778,0.0,-0.0770833353511989,0.1111111119389534,1.0,1.0,36,36
1,action,front_2_5,6,token_dispersion,0.5,0.5,0.0,-0.1388888955116272,0.0555555559694767,1.0,1.0,36,36
1,action,front_2_5,7,entropy,0.5277777777777778,0.5277777777777778,0.0,-0.10486111231148243,0.1111111119389534,1.0,1.0,36,36
1,action,front_2_5,7,token_dispersion,0.4722222222222222,0.4722222222222222,0.0,-0.1388888955116272,0.0555555559694767,1.0,1.0,36,36
1,action,front_2_5,8,entropy,0.5,0.5,0.0,-0.10486111231148243,0.1111111119389534,1.0,1.0,36,36
1,action,front_2_5,9,top1_mass,0.4444444444444444,0.4444444444444444,0.0,-0.0555555559694767,0.0555555559694767,1.0,1.0,36,36
1,state,back_12_15,2,top1_mass,0.4722222222222222,0.4722222222222222,0.0,-0.0833333358168602,0.1388888955116272,1.0,1.0,36,36
1,state,back_12_15,4,top1_mass,0.4722222222222222,0.4722222222222222,0.0,-0.1388888955116272,0.10486111231148239,1.0,1.0,36,36
1,state,back_12_15,5,consensus_distance,0.4166666666666667,0.4166666666666667,0.0,-0.0833333358168602,0.07708333535119888,1.0,1.0,36,36
1,state,back_12_15,6,entropy,0.4444444444444444,0.4444444444444444,0.0,-0.16041667200624943,0.1604166720062494,1.0,1.0,36,36
3,action,back_12_15,0,top1_mass,0.5555555555555556,0.3611111111111111,0.19444444444444448,0.06180555643513799,0.3333333432674408,0.0196078431372549,0.43137254901960786,36,36
3,action,back_12_15,2,top1_mass,0.5555555555555556,0.3888888888888889,0.16666666666666669,0.06180555643513799,0.27152778804302213,0.0196078431372549,0.7254901960784313,36,36
3,action,back_12_15,1,entropy,0.3611111111111111,0.5277777777777778,-0.16666666666666669,-0.3333333432674408,-0.02777777798473835,0.0392156862745098,0.7254901960784313,36,36
3,action,back_12_15,1,top1_mass,0.5555555555555556,0.3888888888888889,0.16666666666666669,0.06180555643513799,0.27152778804302213,0.0392156862745098,0.7254901960784313,36,36
3,action,back_12_15,2,entropy,0.3611111111111111,0.5277777777777778,-0.16666666666666669,-0.3333333432674408,-0.02777777798473835,0.0392156862745098,0.7254901960784313,36,36
3,action,front_2_5,9,entropy,0.3333333333333333,0.5,-0.16666666666666669,-0.27152778804302213,-0.0833333358168602,0.0392156862745098,0.7254901960784313,36,36
3,action,back_12_15,0,entropy,0.3611111111111111,0.5,-0.1388888888888889,-0.3055555522441864,0.0,0.0784313725490196,0.9607843137254902,36,36
3,action,back_12_15,3,entropy,0.3333333333333333,0.4722222222222222,-0.1388888888888889,-0.3611111044883728,0.021527777938172184,0.0784313725490196,0.9607843137254902,36,36
3,action,back_12_15,3,top1_mass,0.5277777777777778,0.3888888888888889,0.1388888888888889,0.0,0.2777777910232544,0.09803921568627451,0.9607843137254902,36,36
