method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
partial_query_d1|global,global,libero_goal,30,102,4000,0,0,0,0.0,0.0,,,
partial_query_d1|global,global,libero_long,52,222,2800,55,37,18,0.6727272727272727,0.16666666666666666,0.1955909590284736,3.4394599631230345,22.0
partial_query_d1|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
partial_query_d1|global,global,libero_spatial,22,126,4000,6,3,3,0.5,0.023809523809523808,0.2740395091904314,1.8245544282176756,10.0
flow_path|per_task,per_task,libero_goal,30,102,4000,35,30,5,0.8571428571428571,0.29411764705882354,0.17408359369562704,4.92374289240324,12.0
flow_path|per_task,per_task,libero_long,52,222,2800,25,15,10,0.6,0.06756756756756757,0.4984876363478658,1.2036406848439758,31.0
flow_path|per_task,per_task,libero_object,28,37,4000,40,25,15,0.625,0.6756756756756757,0.45725561344597787,1.36685036032661,18.0
flow_path|per_task,per_task,libero_spatial,22,126,4000,71,69,2,0.971830985915493,0.5476190476190477,0.8645441579640415,1.1240964119219852,17.0
flow_path|global,global,libero_goal,30,102,4000,1,1,0,1.0,0.00980392156862745,0.9714285714285714,1.0294117647058825,25.0
flow_path|global,global,libero_long,52,222,2800,4,4,0,1.0,0.018018018018018018,0.734118890753904,1.3621771794661885,43.0
flow_path|global,global,libero_object,28,37,4000,6,6,0,1.0,0.16216216216216217,0.9340371246521829,1.070621256486331,25.0
flow_path|global,global,libero_spatial,22,126,4000,39,38,1,0.9743589743589743,0.30158730158730157,0.9175907000584433,1.0618666626600677,16.0
flow_endpoint|per_task,per_task,libero_goal,30,102,4000,55,48,7,0.8727272727272727,0.47058823529411764,0.3578300289347913,2.438943638479019,14.0
flow_endpoint|per_task,per_task,libero_long,52,222,2800,38,26,12,0.6842105263157895,0.11711711711711711,0.44332675369888885,1.5433549196097263,27.0
flow_endpoint|per_task,per_task,libero_object,28,37,4000,25,20,5,0.8,0.5405405405405406,0.5232740656559409,1.5288355615277325,19.0
flow_endpoint|per_task,per_task,libero_spatial,22,126,4000,62,57,5,0.9193548387096774,0.4523809523809524,0.8433451859391463,1.0901287563358615,18.0
flow_endpoint|global,global,libero_goal,30,102,4000,0,0,0,0.0,0.0,,,
flow_endpoint|global,global,libero_long,52,222,2800,0,0,0,0.0,0.0,,,
flow_endpoint|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
