family,quantity,cohort,layer,survival_auc,survival_auc_early,abs_auc_gap
circuit,thalt_cv,external_8b,L13,0.4767006444463092,0.47885900478244525,0.02329935555369078
circuit,thalt_cv,external_8b,L14,0.4489080907434598,0.446572173010646,0.051091909256540224
circuit,thalt_cv,external_8b,L15,0.48341291788805096,0.4864390537333742,0.016587082111949036
circuit,foster_residual,development_main,L2,0.5024662202089298,0.5023924044245103,0.002466220208929837
circuit,foster_residual,development_main,L3,0.5035521041405977,0.5040014056873184,0.0035521041405977005
circuit,foster_residual,development_main,L4,0.4942460679858137,0.4940898711676223,0.00575393201418628
circuit,foster_residual,development_main,L5,0.49770739089544735,0.49728061519492056,0.0022926091045526453
circuit,foster_residual,development_main,L12,0.5004017956725298,0.5008668607796012,0.0004017956725298477
circuit,foster_residual,development_main,L13,0.5021383527680673,0.5025796064683504,0.0021383527680672865
circuit,foster_residual,development_main,L14,0.49819155099607043,0.498057715462216,0.0018084490039295686
circuit,foster_residual,development_main,L15,0.4990313695018738,0.49916876780035674,0.0009686304981261773
circuit,foster_residual,external_8b,L2,0.49832534248144833,0.4986877256982325,0.0016746575185516699
circuit,foster_residual,external_8b,L3,0.501614394922181,0.5018016797941444,0.0016143949221809617
circuit,foster_residual,external_8b,L4,0.49508790042427714,0.4948282183170788,0.004912099575722861
circuit,foster_residual,external_8b,L5,0.5004851297039131,0.5004703941499259,0.00048512970391312304
circuit,foster_residual,external_8b,L12,0.4986425639459105,0.4986343382430307,0.0013574360540895003
circuit,foster_residual,external_8b,L13,0.4996644337372982,0.49951051256218154,0.0003355662627018141
circuit,foster_residual,external_8b,L14,0.5036718568881333,0.5033703067523809,0.003671856888133318
circuit,foster_residual,external_8b,L15,0.4989364362881338,0.4989878918508099,0.0010635637118662222
circuit,neg_count,development_main,L2,0.5,0.5,0.0
circuit,neg_count,development_main,L3,0.5,0.5,0.0
circuit,neg_count,development_main,L4,0.5,0.5,0.0
circuit,neg_count,development_main,L5,0.5,0.5,0.0
circuit,neg_count,development_main,L12,0.5,0.5,0.0
circuit,neg_count,development_main,L13,0.4999968388505347,0.4999966965537354,3.1611494653027705e-06
circuit,neg_count,development_main,L14,0.5000554461737505,0.5000579420421499,5.5446173750528516e-05
circuit,neg_count,development_main,L15,0.49991470714510156,0.49990588218127163,8.52928548984444e-05
circuit,neg_count,external_8b,L2,0.5,0.5,0.0
circuit,neg_count,external_8b,L3,0.5,0.5,0.0
circuit,neg_count,external_8b,L4,0.5,0.5,0.0
circuit,neg_count,external_8b,L5,0.5,0.5,0.0
circuit,neg_count,external_8b,L12,0.5,0.5,0.0
circuit,neg_count,external_8b,L13,0.4999932573318746,0.49999735043072163,6.74266812539237e-06
circuit,neg_count,external_8b,L14,0.4999847499810757,0.49998792670493775,1.5250018924273245e-05
circuit,neg_count,external_8b,L15,0.5001645237361145,0.500159356568763,0.0001645237361145302
circuit,neg_mass,development_main,L2,0.5,0.5,0.0
circuit,neg_mass,development_main,L3,0.5,0.5,0.0
circuit,neg_mass,development_main,L4,0.5,0.5,0.0
circuit,neg_mass,development_main,L5,0.5,0.5,0.0
circuit,neg_mass,development_main,L12,0.5,0.5,0.0
circuit,neg_mass,development_main,L13,0.4999968388505347,0.4999966965537354,3.1611494653027705e-06
circuit,neg_mass,development_main,L14,0.5000554267801955,0.5000579217756085,5.542678019554437e-05
circuit,neg_mass,development_main,L15,0.4999148235064315,0.49990600378052064,8.5176493568484e-05
circuit,neg_mass,external_8b,L2,0.5,0.5,0.0
circuit,neg_mass,external_8b,L3,0.5,0.5,0.0
circuit,neg_mass,external_8b,L4,0.5,0.5,0.0
circuit,neg_mass,external_8b,L5,0.5,0.5,0.0
circuit,neg_mass,external_8b,L12,0.5,0.5,0.0
circuit,neg_mass,external_8b,L13,0.4999932573318746,0.49999735043072163,6.74266812539237e-06
circuit,neg_mass,external_8b,L14,0.4999847499810757,0.49998792670493775,1.5250018924273245e-05
circuit,neg_mass,external_8b,L15,0.5001645237361145,0.5001593292536158,0.0001645237361145302
circuit,dd_deficit,development_main,L2,0.47895496742833044,0.48331621823903614,0.021045032571669564
circuit,dd_deficit,development_main,L3,0.4716502491819701,0.47033160723199374,0.028349750818029873
circuit,dd_deficit,development_main,L4,0.5017014741545389,0.5007408636910925,0.0017014741545389178
circuit,dd_deficit,development_main,L5,0.49566486168264456,0.5045313554810152,0.004335138317355436
circuit,dd_deficit,development_main,L12,0.5574307550209623,0.5556806001166137,0.05743075502096229
circuit,dd_deficit,development_main,L13,0.5322672295348638,0.5284030107163391,0.03226722953486383
circuit,dd_deficit,development_main,L14,0.5526596301936085,0.5543921344741775,0.05265963019360853
circuit,dd_deficit,development_main,L15,0.5354856675616534,0.5293630975868426,0.03548566756165339
circuit,dd_deficit,external_8b,L2,0.5018513760020962,0.5054502869237693,0.0018513760020961723
circuit,dd_deficit,external_8b,L3,0.47159710313906494,0.4704124237593269,0.028402896860935056
circuit,dd_deficit,external_8b,L4,0.5299146504640352,0.5288872704967674,0.029914650464035186
circuit,dd_deficit,external_8b,L5,0.5172527757273219,0.5242080492057247,0.017252775727321867
circuit,dd_deficit,external_8b,L12,0.5805483216735218,0.5798975157529186,0.08054832167352177
circuit,dd_deficit,external_8b,L13,0.5456977615869459,0.5437231785740859,0.04569776158694594
circuit,dd_deficit,external_8b,L14,0.577338732630189,0.5807537090418928,0.07733873263018898
circuit,dd_deficit,external_8b,L15,0.5459780300694552,0.5409067410614732,0.04597803006945522
published,flow_path,development_main,L2,0.5115781462716996,0.5073309957904366,0.011578146271699619
published,flow_path,development_main,L3,0.5118032472646069,0.5067138796017463,0.011803247264606909
published,flow_path,development_main,L4,0.5048077398591974,0.502482367602231,0.0048077398591973575
published,flow_path,development_main,L5,0.4852878746335442,0.4817239166064244,0.014712125366455775
published,flow_path,development_main,L12,0.47811512952897206,0.47829025781270107,0.02188487047102794
published,flow_path,development_main,L13,0.49382268728656664,0.4925183427400486,0.006177312713433358
published,flow_path,development_main,L14,0.48551768826031705,0.486530309322143,0.014482311739682951
published,flow_path,development_main,L15,0.49930621496336114,0.4949019514855476,0.0006937850366388609
published,flow_path,external_8b,L2,0.480593587101023,0.4762011999871947,0.019406412898976988
published,flow_path,external_8b,L3,0.4969052865309989,0.4926126047822704,0.003094713469001087
published,flow_path,external_8b,L4,0.4771554453129317,0.47441806717799895,0.022844554687068308
published,flow_path,external_8b,L5,0.46573573597776563,0.462227713052412,0.03426426402223437
published,flow_path,external_8b,L12,0.4581065123480641,0.457619183362322,0.0418934876519359
published,flow_path,external_8b,L13,0.47438686890667586,0.47277084088369525,0.025613131093324137
published,flow_path,external_8b,L14,0.4629687793921727,0.46270470381038653,0.03703122060782732
published,flow_path,external_8b,L15,0.4900967193600913,0.4860512879037274,0.009903280639908696
published,flow_settling_log_ratio,development_main,L2,0.57498163139438,0.57126107135829,0.07498163139437997
published,flow_settling_log_ratio,development_main,L3,0.57387503514597,0.5697096068068017,0.07387503514597005
published,flow_settling_log_ratio,development_main,L4,0.5498059849364052,0.5495645834891324,0.0498059849364052
published,flow_settling_log_ratio,development_main,L5,0.5184553335980424,0.5145446888386684,0.01845533359804241
