family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L13,low,0.85,global,False,56,218,0.11498973305954825,0.015230908963878992,0.20437956204379562,6,208,0.028037383177570093,0.10714285714285714,0.2079861983814992,0.9826592515956847
circuit,dd_deficit,L13,low,0.9,global,False,41,127,0.08418891170431211,0.008873052469782716,0.24404761904761904,5,121,0.03968253968253968,0.12195121951219512,0.24562151909440194,0.9935921736312607
circuit,dd_deficit,L13,low,0.925,global,False,30,99,0.061601642710472276,0.006916788933137707,0.23255813953488372,3,92,0.031578947368421054,0.1,0.24585337344970506,0.9459221009324845
circuit,dd_deficit,L13,low,0.95,global,False,23,59,0.04722792607802875,0.004122126737930553,0.2804878048780488,2,52,0.037037037037037035,0.08695652173913043,0.2929767332981382,0.9573722859167098
circuit,dd_deficit,L13,low,0.96,global,False,22,50,0.045174537987679675,0.003493327744008943,0.3055555555555556,2,44,0.043478260869565216,0.09090909090909091,0.3086113275337229,0.9900983155654473
circuit,dd_deficit,L13,low,0.975,global,False,18,33,0.03696098562628337,0.002305596311045902,0.35294117647058826,2,27,0.06896551724137931,0.1111111111111111,0.34218981587108876,1.0314192886545455
circuit,dd_deficit,L13,low,0.98,global,False,12,26,0.024640657084188913,0.0018165304268846503,0.3157894736842105,1,18,0.05263157894736842,0.08333333333333333,0.3431534221851019,0.9202573929566382
circuit,dd_deficit,L13,low,0.99,global,False,6,11,0.012320328542094456,0.0007685321036819675,0.35294117647058826,0,5,0.0,0.0,0.446225730250762,0.7909476136041027
circuit,dd_deficit,L13,low,0.995,global,False,3,4,0.006160164271047228,0.00027946621952071543,0.42857142857142855,0,1,0.0,0.0,0.6521088233892856,0.6572084492645897
circuit,dd_deficit,L13,low,0.5,per_task,False,178,697,0.3655030800821355,0.04869698875148466,0.20342857142857143,44,678,0.060941828254847646,0.24719101123595505,0.16163272831306982,1.258585272622178
circuit,dd_deficit,L13,low,0.6,per_task,False,153,448,0.3141683778234086,0.03130021658632013,0.2545757071547421,27,433,0.058695652173913045,0.17647058823529413,0.20804575676140447,1.2236524845190673
circuit,dd_deficit,L13,low,0.7,per_task,False,119,276,0.24435318275154005,0.019283169146929364,0.3012658227848101,20,265,0.07017543859649122,0.16806722689075632,0.2432175604479885,1.2386680559985104
circuit,dd_deficit,L13,low,0.75,per_task,False,106,218,0.21765913757700206,0.015230908963878992,0.3271604938271605,14,208,0.06306306306306306,0.1320754716981132,0.27094660566346,1.2074721992772375
circuit,dd_deficit,L13,low,0.8,per_task,False,90,149,0.18480492813141683,0.01041011667714665,0.37656903765690375,13,139,0.08552631578947369,0.14444444444444443,0.3053896093738797,1.2330774397627953
circuit,dd_deficit,L13,low,0.85,per_task,False,74,100,0.15195071868583163,0.006986655488017886,0.42528735632183906,11,91,0.10784313725490197,0.14864864864864866,0.35457279931708696,1.1994359328773936
circuit,dd_deficit,L13,low,0.9,per_task,False,50,58,0.1026694045174538,0.004052260183050374,0.46296296296296297,6,51,0.10526315789473684,0.12,0.41057559851183484,1.1275949292676195
circuit,dd_deficit,L13,low,0.925,per_task,False,41,36,0.08418891170431211,0.0025151959756864388,0.5324675324675324,4,29,0.12121212121212122,0.0975609756097561,0.493422622878405,1.079130764944171
circuit,dd_deficit,L13,low,0.95,per_task,False,28,17,0.057494866529774126,0.0011877314329630407,0.6222222222222222,2,12,0.14285714285714285,0.07142857142857142,0.5641903336172434,1.102858707686312
circuit,dd_deficit,L13,low,0.96,per_task,False,27,13,0.055441478439425054,0.0009082652134423251,0.675,2,5,0.2857142857142857,0.07407407407407407,0.615505283036484,1.096659961503514
circuit,dd_deficit,L13,low,0.975,per_task,False,18,11,0.03696098562628337,0.0007685321036819675,0.6206896551724138,1,4,0.2,0.05555555555555555,0.604972955050117,1.0259791780625878
circuit,dd_deficit,L13,low,0.98,per_task,False,15,9,0.030800821355236138,0.0006287989939216097,0.625,0,3,0.0,0.0,0.6470820916580472,0.9658743582263801
circuit,dd_deficit,L13,low,0.99,per_task,False,11,5,0.022587268993839837,0.0003493327744008943,0.6875,0,2,0.0,0.0,0.7084637926232613,0.9704095073854971
circuit,dd_deficit,L13,low,0.995,per_task,False,3,3,0.006160164271047228,0.00020959966464053657,0.5,0,1,0.0,0.0,0.6419047619047619,0.7789317507418398
circuit,dd_deficit,L14,high,0.5,global,False,310,1650,0.6365503080082136,0.11527981555229512,0.15816326530612246,141,1572,0.08231173380035026,0.45483870967741935,0.12394958453410236,1.2760290072824476
