corpus,target,horizon,feature_block,t_bin,metric,value,n
A,dgoal,1,t1,q12-23,r2,-1195098.149299889,4224
A,dgoal,1,t1,q24+,r2,-0.16696416114005205,7358
A,undo,1,t1,all,auc,0.2043163794648269,15806
A,undo,1,t1,q0-11,auc,nan,4224
A,undo,1,t1,q12-23,auc,0.3968668407310705,4224
A,undo,1,t1,q24+,auc,0.17624710756130652,7358
A,grip_flips,1,t1,all,r2,0.6318178839779012,15806
A,grip_flips,1,t1,all,r2_within_branch,0.6394723736572385,15806
A,grip_flips,1,t1,q0-11,r2,0.6371581332794882,4224
A,grip_flips,1,t1,q12-23,r2,0.6328813432045302,4224
A,grip_flips,1,t1,q24+,r2,0.5878782064551898,7358
A,obj_disp_p1,1,t1,all,r2,-0.7875177269256077,15806
A,obj_disp_p1,1,t1,all,r2_within_branch,-0.9296129923547046,15806
A,obj_disp_p1,1,t1,q0-11,r2,-896718875592.3416,4224
A,obj_disp_p1,1,t1,q12-23,r2,-269229.4400804333,4224
A,obj_disp_p1,1,t1,q24+,r2,-0.24940747607956504,7358
A,obj_disp_p2,1,t1,all,r2,-0.027710019051587348,15806
A,obj_disp_p2,1,t1,all,r2_within_branch,-0.04896508737010172,15806
A,obj_disp_p2,1,t1,q0-11,r2,-8.82819808816168,4224
A,obj_disp_p2,1,t1,q12-23,r2,0.4355816222801521,4224
A,obj_disp_p2,1,t1,q24+,r2,-292.1965096271671,7358
A,obj_nc,1,t1,all,auc,0.7969216548988679,15806
A,obj_nc,1,t1,q0-11,auc,0.7481596542175999,4224
A,obj_nc,1,t1,q12-23,auc,0.7334681867104486,4224
A,obj_nc,1,t1,q24+,auc,0.6589669077602645,7358
A,obj_ncfar,1,t1,all,auc,0.7598087516483177,15806
A,obj_ncfar,1,t1,q0-11,auc,nan,4224
A,obj_ncfar,1,t1,q12-23,auc,0.9287512709212314,4224
A,obj_ncfar,1,t1,q24+,auc,0.6583308090117328,7358
A,obj_free_disp,1,t1,all,r2,-0.4068404616713164,15806
A,obj_free_disp,1,t1,all,r2_within_branch,-0.32506076443036225,15806
A,obj_free_disp,1,t1,q0-11,r2,-0.08551160338099373,4224
A,obj_free_disp,1,t1,q12-23,r2,-0.27172804616904966,4224
A,obj_free_disp,1,t1,q24+,r2,-0.42609467376864146,7358
A,obj_gt_arm,1,t1,all,auc,0.8933162930783554,15806
A,obj_gt_arm,1,t1,q0-11,auc,0.9163796814689924,4224
A,obj_gt_arm,1,t1,q12-23,auc,0.8898799043364898,4224
A,obj_gt_arm,1,t1,q24+,auc,0.8835965185806212,7358
A,undo_nc,1,t1,all,auc,0.3299925201289075,15806
A,undo_nc,1,t1,q0-11,auc,nan,4224
A,undo_nc,1,t1,q12-23,auc,0.4691304347826087,4224
A,undo_nc,1,t1,q24+,auc,0.25062531265632815,7358
A,eef_disp,1,t2,all,r2,0.9488105839299499,15806
A,eef_disp,1,t2,all,r2_within_branch,0.9495618843401463,15806
A,eef_disp,1,t2,q0-11,r2,0.9376841545500989,4224
A,eef_disp,1,t2,q12-23,r2,0.9554131140343032,4224
A,eef_disp,1,t2,q24+,r2,0.9321652940967158,7358
A,eef_path,1,t2,all,r2,0.9488105761251279,15806
A,eef_path,1,t2,all,r2_within_branch,0.9495618768736016,15806
A,eef_path,1,t2,q0-11,r2,0.9376841645493129,4224
A,eef_path,1,t2,q12-23,r2,0.9554131171699667,4224
A,eef_path,1,t2,q24+,r2,0.9321652738560484,7358
A,obj_disp,1,t2,all,r2,0.6995463914775858,15806
A,obj_disp,1,t2,all,r2_within_branch,0.7099532575225437,15806
A,obj_disp,1,t2,q0-11,r2,-6.924083201159599,4224
A,obj_disp,1,t2,q12-23,r2,0.8038372596657244,4224
A,obj_disp,1,t2,q24+,r2,0.5473187371626113,7358
A,dgoal,1,t2,all,r2,0.7798576922278222,15806
A,dgoal,1,t2,all,r2_within_branch,0.7983412783919933,15806
A,dgoal,1,t2,q0-11,r2,nan,4224
A,dgoal,1,t2,q12-23,r2,-183441.42969629588,4224
A,dgoal,1,t2,q24+,r2,0.8062524699452729,7358
A,undo,1,t2,all,auc,0.24472199001776024,15806
A,undo,1,t2,q0-11,auc,nan,4224
A,undo,1,t2,q12-23,auc,0.3449376269219611,4224
A,undo,1,t2,q24+,auc,0.4539638116330037,7358
A,grip_flips,1,t2,all,r2,0.4286446882075465,15806
A,grip_flips,1,t2,all,r2_within_branch,0.4481176477118445,15806
A,grip_flips,1,t2,q0-11,r2,0.5854884171297324,4224
A,grip_flips,1,t2,q12-23,r2,0.5279252160832943,4224
A,grip_flips,1,t2,q24+,r2,0.20579302471342892,7358
A,obj_disp_p1,1,t2,all,r2,0.6989157284490196,15806
A,obj_disp_p1,1,t2,all,r2_within_branch,0.7152733610329585,15806
A,obj_disp_p1,1,t2,q0-11,r2,-85786138621.31908,4224
A,obj_disp_p1,1,t2,q12-23,r2,-26278.172249918123,4224
A,obj_disp_p1,1,t2,q24+,r2,0.7175661808655062,7358
A,obj_disp_p2,1,t2,all,r2,0.6687801215407629,15806
A,obj_disp_p2,1,t2,all,r2_within_branch,0.6852921459762389,15806
A,obj_disp_p2,1,t2,q0-11,r2,-4.944123870390297,4224
A,obj_disp_p2,1,t2,q12-23,r2,0.8205175867686287,4224
A,obj_disp_p2,1,t2,q24+,r2,-60.665051573248874,7358
A,obj_nc,1,t2,all,auc,0.788225685804871,15806
A,obj_nc,1,t2,q0-11,auc,0.46214628216384146,4224
A,obj_nc,1,t2,q12-23,auc,0.7650438459452852,4224
A,obj_nc,1,t2,q24+,auc,0.6797423149172673,7358
A,obj_ncfar,1,t2,all,auc,0.613335119413605,15806
A,obj_ncfar,1,t2,q0-11,auc,nan,4224
A,obj_ncfar,1,t2,q12-23,auc,0.8270727322393957,4224
A,obj_ncfar,1,t2,q24+,auc,0.5583394536224967,7358
A,obj_free_disp,1,t2,all,r2,-0.5984925604266638,15806
A,obj_free_disp,1,t2,all,r2_within_branch,-0.45959355129513857,15806
A,obj_free_disp,1,t2,q0-11,r2,-0.1361648953071013,4224
A,obj_free_disp,1,t2,q12-23,r2,-0.14000397204015888,4224
A,obj_free_disp,1,t2,q24+,r2,-1.1873278581162134,7358
A,obj_gt_arm,1,t2,all,auc,0.8940448095217565,15806
A,obj_gt_arm,1,t2,q0-11,auc,0.943994765056286,4224
A,obj_gt_arm,1,t2,q12-23,auc,0.8946139243989236,4224
A,obj_gt_arm,1,t2,q24+,auc,0.8637108037385832,7358
A,undo_nc,1,t2,all,auc,0.5657925324695714,15806
A,undo_nc,1,t2,q0-11,auc,nan,4224
A,undo_nc,1,t2,q12-23,auc,0.5173913043478261,4224
