task,denoise,family,conditional_auc,auc_ci_low,auc_ci_high,conditional_pairs,mixed_scenes
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,routed_scalar,0.358974358974359,0.19047619047619047,0.4857142857142857,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,routed_full,0.4230769230769231,0.24489795918367346,0.6190476190476191,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,shared_identity,0.38461538461538464,0.15873015873015872,0.6103953568555337,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,hidden_identity,0.5641025641025641,0.32051282051282054,0.7883096315449245,78,8
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,routed_identity,0.5583756345177665,0.5046153846153846,0.6629213483146067,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,routed_scalar,0.4467005076142132,0.3640146786473695,0.6345297805642627,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,routed_full,0.43147208121827413,0.3267766222511104,0.568496508192318,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,shared_identity,0.4873096446700508,0.4178567236753857,0.59375,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,hidden_identity,0.49746192893401014,0.39805825242718446,0.6,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,routed_identity,0.5431472081218274,0.4862372649399362,0.6213592233009708,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,routed_scalar,0.4263959390862944,0.329186417129781,0.6463414634146342,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,routed_full,0.5025380710659898,0.4313680518078791,0.6097899728997285,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,shared_identity,0.47715736040609136,0.40605866355866355,0.5755857998590557,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,hidden_identity,0.49746192893401014,0.42016806722689076,0.6033118978923173,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,routed_identity,0.5532994923857868,0.4268963878326996,0.7742264647794597,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,routed_scalar,0.49746192893401014,0.3681494387566301,0.6694250808480057,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,routed_full,0.5380710659898477,0.42205154653075533,0.709098679098679,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,shared_identity,0.5025380710659898,0.4294117647058823,0.6277462749592808,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,hidden_identity,0.4517766497461929,0.3841047605336405,0.5401480828928601,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,routed_identity,0.5177664974619289,0.45319788803309474,0.6449407114624504,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,routed_scalar,0.5228426395939086,0.4146207155904158,0.6516188769414575,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,routed_full,0.4873096446700508,0.3849130036630037,0.6269913419913419,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,shared_identity,0.49238578680203043,0.4163079861182413,0.5891916023166023,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,hidden_identity,0.4365482233502538,0.3668299832495812,0.5308167950236966,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,routed_identity,0.5177664974619289,0.4161468014689214,0.6422036995599314,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,routed_scalar,0.5329949238578681,0.45,0.6545508658008657,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,routed_full,0.5279187817258884,0.4444444444444444,0.6267631910868194,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,shared_identity,0.49746192893401014,0.3850464190981432,0.6296296296296297,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,hidden_identity,0.4467005076142132,0.37814869850379174,0.5284622932436219,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,routed_identity,0.47715736040609136,0.35064748469920887,0.582707443068102,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,routed_scalar,0.45685279187817257,0.36298538720750795,0.5508494193345888,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,routed_full,0.47715736040609136,0.3809285714285714,0.5555555555555556,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,shared_identity,0.49746192893401014,0.3764705882352941,0.6270293174530462,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,hidden_identity,0.4619289340101523,0.37304875176636837,0.5503355704697986,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,routed_identity,0.4517766497461929,0.35203609221466364,0.5940727856569439,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,routed_scalar,0.5329949238578681,0.4583333333333333,0.6041666666666666,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,routed_full,0.5532994923857868,0.5042735042735043,0.6090242652084757,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,shared_identity,0.49238578680203043,0.39173654066437574,0.6131435523114355,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,hidden_identity,0.4619289340101523,0.3811275831087152,0.5520849309815951,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,routed_identity,0.4873096446700508,0.30158730158730157,0.6019931154088711,197,12
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,routed_scalar,0.4365482233502538,0.26086043112897334,0.5278691571698458,197,12
