corpus,group,relative,concordant,pairs,n_events,auc_trap_high,metric,token
A,w03_s004,-2,1.0,3,2,0.3333333333333333,exec_entropy,5
A,w03_s005,-2,6.0,14,1,0.42857142857142855,exec_entropy,5
A,w00_s000,-2,36.0,55,5,0.6545454545454545,exec_entropy,6
A,w00_s001,-2,13.0,39,13,0.3333333333333333,exec_entropy,6
A,w00_s002,-2,12.0,64,8,0.1875,exec_entropy,6
A,w00_s003,-2,22.0,63,9,0.3492063492063492,exec_entropy,6
A,w00_s004,-2,12.0,63,7,0.19047619047619047,exec_entropy,6
A,w00_s005,-2,28.0,52,7,0.5384615384615384,exec_entropy,6
A,w01_s000,-2,2.0,15,15,0.13333333333333333,exec_entropy,6
A,w01_s003,-2,9.0,15,15,0.6,exec_entropy,6
A,w02_s000,-2,37.0,63,7,0.5873015873015873,exec_entropy,6
A,w02_s001,-2,16.0,63,7,0.25396825396825395,exec_entropy,6
A,w02_s002,-2,10.0,63,8,0.15873015873015872,exec_entropy,6
A,w02_s003,-2,25.0,59,10,0.423728813559322,exec_entropy,6
A,w02_s004,-2,29.0,60,6,0.48333333333333334,exec_entropy,6
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,6
A,w03_s004,-2,0.0,3,2,0.0,exec_entropy,6
A,w03_s005,-2,5.0,14,1,0.35714285714285715,exec_entropy,6
A,w00_s000,-2,43.0,55,5,0.7818181818181819,exec_entropy,7
A,w00_s001,-2,19.0,39,13,0.48717948717948717,exec_entropy,7
A,w00_s002,-2,23.0,64,8,0.359375,exec_entropy,7
A,w00_s003,-2,17.0,63,9,0.2698412698412698,exec_entropy,7
A,w00_s004,-2,16.0,63,7,0.25396825396825395,exec_entropy,7
A,w00_s005,-2,11.0,52,7,0.21153846153846154,exec_entropy,7
A,w01_s000,-2,4.0,15,15,0.26666666666666666,exec_entropy,7
A,w01_s003,-2,11.0,15,15,0.7333333333333333,exec_entropy,7
A,w02_s000,-2,23.0,63,7,0.36507936507936506,exec_entropy,7
A,w02_s001,-2,31.0,63,7,0.49206349206349204,exec_entropy,7
A,w02_s002,-2,20.0,63,8,0.31746031746031744,exec_entropy,7
A,w02_s003,-2,23.0,59,10,0.3898305084745763,exec_entropy,7
A,w02_s004,-2,5.0,60,6,0.08333333333333333,exec_entropy,7
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,7
A,w03_s004,-2,2.0,3,2,0.6666666666666666,exec_entropy,7
A,w03_s005,-2,10.0,14,1,0.7142857142857143,exec_entropy,7
A,w00_s000,-2,5.0,55,5,0.09090909090909091,exec_entropy,8
A,w00_s001,-2,14.0,39,13,0.358974358974359,exec_entropy,8
A,w00_s002,-2,21.0,64,8,0.328125,exec_entropy,8
A,w00_s003,-2,12.0,63,9,0.19047619047619047,exec_entropy,8
A,w00_s004,-2,33.0,63,7,0.5238095238095238,exec_entropy,8
A,w00_s005,-2,4.0,52,7,0.07692307692307693,exec_entropy,8
A,w01_s000,-2,1.0,15,15,0.06666666666666667,exec_entropy,8
A,w01_s003,-2,9.0,15,15,0.6,exec_entropy,8
A,w02_s000,-2,22.0,63,7,0.3492063492063492,exec_entropy,8
A,w02_s001,-2,11.0,63,7,0.1746031746031746,exec_entropy,8
A,w02_s002,-2,13.0,63,8,0.20634920634920634,exec_entropy,8
A,w02_s003,-2,6.0,59,10,0.1016949152542373,exec_entropy,8
A,w02_s004,-2,2.0,60,6,0.03333333333333333,exec_entropy,8
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,8
A,w03_s004,-2,2.0,3,2,0.6666666666666666,exec_entropy,8
A,w03_s005,-2,12.0,14,1,0.8571428571428571,exec_entropy,8
A,w00_s000,-2,2.0,55,5,0.03636363636363636,exec_entropy,9
A,w00_s001,-2,11.0,39,13,0.28205128205128205,exec_entropy,9
A,w00_s002,-2,13.0,64,8,0.203125,exec_entropy,9
A,w00_s003,-2,11.0,63,9,0.1746031746031746,exec_entropy,9
A,w00_s004,-2,25.0,63,7,0.3968253968253968,exec_entropy,9
A,w00_s005,-2,12.0,52,7,0.23076923076923078,exec_entropy,9
A,w01_s000,-2,1.0,15,15,0.06666666666666667,exec_entropy,9
A,w01_s003,-2,2.0,15,15,0.13333333333333333,exec_entropy,9
A,w02_s000,-2,22.0,63,7,0.3492063492063492,exec_entropy,9
A,w02_s001,-2,3.0,63,7,0.047619047619047616,exec_entropy,9
A,w02_s002,-2,5.0,63,8,0.07936507936507936,exec_entropy,9
A,w02_s003,-2,2.0,59,10,0.03389830508474576,exec_entropy,9
A,w02_s004,-2,8.0,60,6,0.13333333333333333,exec_entropy,9
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,9
A,w03_s004,-2,3.0,3,2,1.0,exec_entropy,9
A,w03_s005,-2,6.0,14,1,0.42857142857142855,exec_entropy,9
A,w00_s000,-2,6.0,55,5,0.10909090909090909,exec_entropy,10
A,w00_s001,-2,6.0,39,13,0.15384615384615385,exec_entropy,10
A,w00_s002,-2,10.0,64,8,0.15625,exec_entropy,10
A,w00_s003,-2,7.0,63,9,0.1111111111111111,exec_entropy,10
A,w00_s004,-2,13.0,63,7,0.20634920634920634,exec_entropy,10
A,w00_s005,-2,20.0,52,7,0.38461538461538464,exec_entropy,10
A,w01_s000,-2,3.0,15,15,0.2,exec_entropy,10
A,w01_s003,-2,9.0,15,15,0.6,exec_entropy,10
A,w02_s000,-2,24.0,63,7,0.38095238095238093,exec_entropy,10
A,w02_s001,-2,9.0,63,7,0.14285714285714285,exec_entropy,10
A,w02_s002,-2,13.0,63,8,0.20634920634920634,exec_entropy,10
A,w02_s003,-2,16.0,59,10,0.2711864406779661,exec_entropy,10
A,w02_s004,-2,11.0,60,6,0.18333333333333332,exec_entropy,10
A,w03_s001,-2,1.0,1,1,1.0,exec_entropy,10
A,w03_s004,-2,2.0,3,2,0.6666666666666666,exec_entropy,10
A,w03_s005,-2,2.0,14,1,0.14285714285714285,exec_entropy,10
A,w00_s000,-2,33.5,55,5,0.6090909090909091,late_flow_support_churn,1
A,w00_s001,-2,8.0,39,13,0.20512820512820512,late_flow_support_churn,1
A,w00_s002,-2,47.0,64,8,0.734375,late_flow_support_churn,1
A,w00_s003,-2,35.0,63,9,0.5555555555555556,late_flow_support_churn,1
A,w00_s004,-2,36.0,63,7,0.5714285714285714,late_flow_support_churn,1
A,w00_s005,-2,26.0,52,7,0.5,late_flow_support_churn,1
A,w01_s000,-2,8.0,15,15,0.5333333333333333,late_flow_support_churn,1
A,w01_s003,-2,6.5,15,15,0.43333333333333335,late_flow_support_churn,1
A,w02_s000,-2,35.0,63,7,0.5555555555555556,late_flow_support_churn,1
A,w02_s001,-2,13.5,63,7,0.21428571428571427,late_flow_support_churn,1
A,w02_s002,-2,34.0,63,8,0.5396825396825397,late_flow_support_churn,1
A,w02_s003,-2,42.0,59,10,0.711864406779661,late_flow_support_churn,1
A,w02_s004,-2,37.0,60,6,0.6166666666666667,late_flow_support_churn,1
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,1
A,w03_s004,-2,3.0,3,2,1.0,late_flow_support_churn,1
A,w03_s005,-2,14.0,14,1,1.0,late_flow_support_churn,1
A,w00_s000,-2,23.0,55,5,0.41818181818181815,late_flow_support_churn,2
A,w00_s001,-2,10.0,39,13,0.2564102564102564,late_flow_support_churn,2
A,w00_s002,-2,36.0,64,8,0.5625,late_flow_support_churn,2
A,w00_s003,-2,34.0,63,9,0.5396825396825397,late_flow_support_churn,2
A,w00_s004,-2,29.0,63,7,0.4603174603174603,late_flow_support_churn,2
A,w00_s005,-2,31.0,52,7,0.5961538461538461,late_flow_support_churn,2
A,w01_s000,-2,7.0,15,15,0.4666666666666667,late_flow_support_churn,2
A,w01_s003,-2,11.0,15,15,0.7333333333333333,late_flow_support_churn,2
A,w02_s000,-2,41.0,63,7,0.6507936507936508,late_flow_support_churn,2
A,w02_s001,-2,18.0,63,7,0.2857142857142857,late_flow_support_churn,2
A,w02_s002,-2,24.0,63,8,0.38095238095238093,late_flow_support_churn,2
A,w02_s003,-2,21.5,59,10,0.3644067796610169,late_flow_support_churn,2
A,w02_s004,-2,28.0,60,6,0.4666666666666667,late_flow_support_churn,2
A,w03_s001,-2,1.0,1,1,1.0,late_flow_support_churn,2
A,w03_s004,-2,2.0,3,2,0.6666666666666666,late_flow_support_churn,2
A,w03_s005,-2,13.0,14,1,0.9285714285714286,late_flow_support_churn,2
A,w00_s000,-2,13.0,55,5,0.23636363636363636,late_flow_support_churn,3
A,w00_s001,-2,17.0,39,13,0.4358974358974359,late_flow_support_churn,3
A,w00_s002,-2,31.0,64,8,0.484375,late_flow_support_churn,3
A,w00_s003,-2,26.0,63,9,0.4126984126984127,late_flow_support_churn,3
A,w00_s004,-2,14.0,63,7,0.2222222222222222,late_flow_support_churn,3
A,w00_s005,-2,20.0,52,7,0.38461538461538464,late_flow_support_churn,3
A,w01_s000,-2,3.0,15,15,0.2,late_flow_support_churn,3
A,w01_s003,-2,7.0,15,15,0.4666666666666667,late_flow_support_churn,3
A,w02_s000,-2,38.0,63,7,0.6031746031746031,late_flow_support_churn,3
A,w02_s001,-2,37.0,63,7,0.5873015873015873,late_flow_support_churn,3
A,w02_s002,-2,25.0,63,8,0.3968253968253968,late_flow_support_churn,3
A,w02_s003,-2,30.0,59,10,0.5084745762711864,late_flow_support_churn,3
A,w02_s004,-2,49.0,60,6,0.8166666666666667,late_flow_support_churn,3
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,3
A,w03_s004,-2,1.0,3,2,0.3333333333333333,late_flow_support_churn,3
A,w03_s005,-2,14.0,14,1,1.0,late_flow_support_churn,3
A,w00_s000,-2,14.0,55,5,0.2545454545454545,late_flow_support_churn,4
A,w00_s001,-2,9.5,39,13,0.24358974358974358,late_flow_support_churn,4
A,w00_s002,-2,27.0,64,8,0.421875,late_flow_support_churn,4
A,w00_s003,-2,17.0,63,9,0.2698412698412698,late_flow_support_churn,4
A,w00_s004,-2,23.0,63,7,0.36507936507936506,late_flow_support_churn,4
A,w00_s005,-2,11.0,52,7,0.21153846153846154,late_flow_support_churn,4
A,w01_s000,-2,2.0,15,15,0.13333333333333333,late_flow_support_churn,4
A,w01_s003,-2,0.0,15,15,0.0,late_flow_support_churn,4
A,w02_s000,-2,18.0,63,7,0.2857142857142857,late_flow_support_churn,4
A,w02_s001,-2,19.0,63,7,0.30158730158730157,late_flow_support_churn,4
A,w02_s002,-2,42.0,63,8,0.6666666666666666,late_flow_support_churn,4
A,w02_s003,-2,26.0,59,10,0.4406779661016949,late_flow_support_churn,4
A,w02_s004,-2,35.0,60,6,0.5833333333333334,late_flow_support_churn,4
A,w03_s001,-2,1.0,1,1,1.0,late_flow_support_churn,4
A,w03_s004,-2,1.0,3,2,0.3333333333333333,late_flow_support_churn,4
A,w03_s005,-2,7.0,14,1,0.5,late_flow_support_churn,4
A,w00_s000,-2,24.0,55,5,0.43636363636363634,late_flow_support_churn,5
A,w00_s001,-2,18.0,39,13,0.46153846153846156,late_flow_support_churn,5
A,w00_s002,-2,30.0,64,8,0.46875,late_flow_support_churn,5
A,w00_s003,-2,30.0,63,9,0.47619047619047616,late_flow_support_churn,5
A,w00_s004,-2,40.0,63,7,0.6349206349206349,late_flow_support_churn,5
A,w00_s005,-2,29.0,52,7,0.5576923076923077,late_flow_support_churn,5
A,w01_s000,-2,4.0,15,15,0.26666666666666666,late_flow_support_churn,5
A,w01_s003,-2,0.0,15,15,0.0,late_flow_support_churn,5
A,w02_s000,-2,41.0,63,7,0.6507936507936508,late_flow_support_churn,5
A,w02_s001,-2,24.0,63,7,0.38095238095238093,late_flow_support_churn,5
A,w02_s002,-2,27.0,63,8,0.42857142857142855,late_flow_support_churn,5
A,w02_s003,-2,24.0,59,10,0.4067796610169492,late_flow_support_churn,5
A,w02_s004,-2,23.0,60,6,0.38333333333333336,late_flow_support_churn,5
A,w03_s001,-2,1.0,1,1,1.0,late_flow_support_churn,5
A,w03_s004,-2,2.0,3,2,0.6666666666666666,late_flow_support_churn,5
A,w03_s005,-2,11.0,14,1,0.7857142857142857,late_flow_support_churn,5
A,w00_s000,-2,36.0,55,5,0.6545454545454545,late_flow_support_churn,6
A,w00_s001,-2,23.0,39,13,0.5897435897435898,late_flow_support_churn,6
A,w00_s002,-2,19.0,64,8,0.296875,late_flow_support_churn,6
A,w00_s003,-2,35.0,63,9,0.5555555555555556,late_flow_support_churn,6
A,w00_s004,-2,37.5,63,7,0.5952380952380952,late_flow_support_churn,6
A,w00_s005,-2,24.0,52,7,0.46153846153846156,late_flow_support_churn,6
A,w01_s000,-2,10.0,15,15,0.6666666666666666,late_flow_support_churn,6
A,w01_s003,-2,9.0,15,15,0.6,late_flow_support_churn,6
A,w02_s000,-2,38.0,63,7,0.6031746031746031,late_flow_support_churn,6
A,w02_s001,-2,29.0,63,7,0.4603174603174603,late_flow_support_churn,6
A,w02_s002,-2,26.0,63,8,0.4126984126984127,late_flow_support_churn,6
A,w02_s003,-2,36.0,59,10,0.6101694915254238,late_flow_support_churn,6
A,w02_s004,-2,47.0,60,6,0.7833333333333333,late_flow_support_churn,6
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,6
A,w03_s004,-2,0.0,3,2,0.0,late_flow_support_churn,6
A,w03_s005,-2,6.0,14,1,0.42857142857142855,late_flow_support_churn,6
A,w00_s000,-2,29.0,55,5,0.5272727272727272,late_flow_support_churn,7
A,w00_s001,-2,25.0,39,13,0.6410256410256411,late_flow_support_churn,7
A,w00_s002,-2,34.0,64,8,0.53125,late_flow_support_churn,7
A,w00_s003,-2,40.0,63,9,0.6349206349206349,late_flow_support_churn,7
A,w00_s004,-2,37.5,63,7,0.5952380952380952,late_flow_support_churn,7
A,w00_s005,-2,30.0,52,7,0.5769230769230769,late_flow_support_churn,7
A,w01_s000,-2,13.5,15,15,0.9,late_flow_support_churn,7
A,w01_s003,-2,8.0,15,15,0.5333333333333333,late_flow_support_churn,7
A,w02_s000,-2,28.0,63,7,0.4444444444444444,late_flow_support_churn,7
A,w02_s001,-2,30.0,63,7,0.47619047619047616,late_flow_support_churn,7
A,w02_s002,-2,26.5,63,8,0.42063492063492064,late_flow_support_churn,7
A,w02_s003,-2,32.0,59,10,0.5423728813559322,late_flow_support_churn,7
A,w02_s004,-2,38.0,60,6,0.6333333333333333,late_flow_support_churn,7
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,7
A,w03_s004,-2,3.0,3,2,1.0,late_flow_support_churn,7
A,w03_s005,-2,4.0,14,1,0.2857142857142857,late_flow_support_churn,7
A,w00_s000,-2,24.0,55,5,0.43636363636363634,late_flow_support_churn,8
A,w00_s001,-2,11.0,39,13,0.28205128205128205,late_flow_support_churn,8
A,w00_s002,-2,37.0,64,8,0.578125,late_flow_support_churn,8
A,w00_s003,-2,13.0,63,9,0.20634920634920634,late_flow_support_churn,8
A,w00_s004,-2,28.0,63,7,0.4444444444444444,late_flow_support_churn,8
A,w00_s005,-2,16.0,52,7,0.3076923076923077,late_flow_support_churn,8
A,w01_s000,-2,1.0,15,15,0.06666666666666667,late_flow_support_churn,8
A,w01_s003,-2,3.0,15,15,0.2,late_flow_support_churn,8
A,w02_s000,-2,37.0,63,7,0.5873015873015873,late_flow_support_churn,8
A,w02_s001,-2,23.0,63,7,0.36507936507936506,late_flow_support_churn,8
A,w02_s002,-2,30.5,63,8,0.48412698412698413,late_flow_support_churn,8
A,w02_s003,-2,29.0,59,10,0.4915254237288136,late_flow_support_churn,8
A,w02_s004,-2,25.5,60,6,0.425,late_flow_support_churn,8
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,8
A,w03_s004,-2,2.0,3,2,0.6666666666666666,late_flow_support_churn,8
A,w03_s005,-2,13.0,14,1,0.9285714285714286,late_flow_support_churn,8
A,w00_s000,-2,35.0,55,5,0.6363636363636364,late_flow_support_churn,9
A,w00_s001,-2,24.0,39,13,0.6153846153846154,late_flow_support_churn,9
A,w00_s002,-2,34.0,64,8,0.53125,late_flow_support_churn,9
A,w00_s003,-2,8.0,63,9,0.12698412698412698,late_flow_support_churn,9
A,w00_s004,-2,44.0,63,7,0.6984126984126984,late_flow_support_churn,9
A,w00_s005,-2,22.0,52,7,0.4230769230769231,late_flow_support_churn,9
A,w01_s000,-2,10.0,15,15,0.6666666666666666,late_flow_support_churn,9
A,w01_s003,-2,2.0,15,15,0.13333333333333333,late_flow_support_churn,9
A,w02_s000,-2,28.0,63,7,0.4444444444444444,late_flow_support_churn,9
A,w02_s001,-2,29.0,63,7,0.4603174603174603,late_flow_support_churn,9
A,w02_s002,-2,31.0,63,8,0.49206349206349204,late_flow_support_churn,9
A,w02_s003,-2,35.0,59,10,0.5932203389830508,late_flow_support_churn,9
A,w02_s004,-2,38.0,60,6,0.6333333333333333,late_flow_support_churn,9
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,9
A,w03_s004,-2,3.0,3,2,1.0,late_flow_support_churn,9
A,w03_s005,-2,14.0,14,1,1.0,late_flow_support_churn,9
A,w00_s000,-2,28.0,55,5,0.509090909090909,late_flow_support_churn,10
A,w00_s001,-2,24.0,39,13,0.6153846153846154,late_flow_support_churn,10
A,w00_s002,-2,39.0,64,8,0.609375,late_flow_support_churn,10
A,w00_s003,-2,33.0,63,9,0.5238095238095238,late_flow_support_churn,10
A,w00_s004,-2,32.5,63,7,0.5158730158730159,late_flow_support_churn,10
A,w00_s005,-2,24.0,52,7,0.46153846153846156,late_flow_support_churn,10
A,w01_s000,-2,11.0,15,15,0.7333333333333333,late_flow_support_churn,10
A,w01_s003,-2,1.0,15,15,0.06666666666666667,late_flow_support_churn,10
A,w02_s000,-2,24.0,63,7,0.38095238095238093,late_flow_support_churn,10
A,w02_s001,-2,29.0,63,7,0.4603174603174603,late_flow_support_churn,10
A,w02_s002,-2,30.0,63,8,0.47619047619047616,late_flow_support_churn,10
A,w02_s003,-2,27.0,59,10,0.4576271186440678,late_flow_support_churn,10
A,w02_s004,-2,41.0,60,6,0.6833333333333333,late_flow_support_churn,10
A,w03_s001,-2,0.0,1,1,0.0,late_flow_support_churn,10
A,w03_s004,-2,3.0,3,2,1.0,late_flow_support_churn,10
A,w03_s005,-2,6.0,14,1,0.42857142857142855,late_flow_support_churn,10
A,w00_s000,-2,35.0,55,5,0.6363636363636364,late_flow_exec_churn,1
A,w00_s001,-2,9.0,39,13,0.23076923076923078,late_flow_exec_churn,1
A,w00_s002,-2,49.0,64,8,0.765625,late_flow_exec_churn,1
A,w00_s003,-2,33.0,63,9,0.5238095238095238,late_flow_exec_churn,1
A,w00_s004,-2,37.0,63,7,0.5873015873015873,late_flow_exec_churn,1
A,w00_s005,-2,27.0,52,7,0.5192307692307693,late_flow_exec_churn,1
A,w01_s000,-2,10.0,15,15,0.6666666666666666,late_flow_exec_churn,1
A,w01_s003,-2,7.0,15,15,0.4666666666666667,late_flow_exec_churn,1
A,w02_s000,-2,36.0,63,7,0.5714285714285714,late_flow_exec_churn,1
A,w02_s001,-2,12.0,63,7,0.19047619047619047,late_flow_exec_churn,1
A,w02_s002,-2,33.0,63,8,0.5238095238095238,late_flow_exec_churn,1
A,w02_s003,-2,42.0,59,10,0.711864406779661,late_flow_exec_churn,1
A,w02_s004,-2,37.0,60,6,0.6166666666666667,late_flow_exec_churn,1
A,w03_s001,-2,0.0,1,1,0.0,late_flow_exec_churn,1
A,w03_s004,-2,3.0,3,2,1.0,late_flow_exec_churn,1
A,w03_s005,-2,14.0,14,1,1.0,late_flow_exec_churn,1
A,w00_s000,-2,20.0,55,5,0.36363636363636365,late_flow_exec_churn,2
A,w00_s001,-2,7.0,39,13,0.1794871794871795,late_flow_exec_churn,2
A,w00_s002,-2,31.0,64,8,0.484375,late_flow_exec_churn,2
A,w00_s003,-2,34.0,63,9,0.5396825396825397,late_flow_exec_churn,2
A,w00_s004,-2,25.0,63,7,0.3968253968253968,late_flow_exec_churn,2
A,w00_s005,-2,30.0,52,7,0.5769230769230769,late_flow_exec_churn,2
A,w01_s000,-2,8.0,15,15,0.5333333333333333,late_flow_exec_churn,2
A,w01_s003,-2,11.0,15,15,0.7333333333333333,late_flow_exec_churn,2
A,w02_s000,-2,36.0,63,7,0.5714285714285714,late_flow_exec_churn,2
A,w02_s001,-2,18.0,63,7,0.2857142857142857,late_flow_exec_churn,2
A,w02_s002,-2,25.0,63,8,0.3968253968253968,late_flow_exec_churn,2
A,w02_s003,-2,22.0,59,10,0.3728813559322034,late_flow_exec_churn,2
A,w02_s004,-2,28.0,60,6,0.4666666666666667,late_flow_exec_churn,2
A,w03_s001,-2,1.0,1,1,1.0,late_flow_exec_churn,2
A,w03_s004,-2,2.0,3,2,0.6666666666666666,late_flow_exec_churn,2
A,w03_s005,-2,13.0,14,1,0.9285714285714286,late_flow_exec_churn,2
A,w00_s000,-2,13.0,55,5,0.23636363636363636,late_flow_exec_churn,3
A,w00_s001,-2,17.0,39,13,0.4358974358974359,late_flow_exec_churn,3
A,w00_s002,-2,30.0,64,8,0.46875,late_flow_exec_churn,3
A,w00_s003,-2,23.0,63,9,0.36507936507936506,late_flow_exec_churn,3
A,w00_s004,-2,14.0,63,7,0.2222222222222222,late_flow_exec_churn,3
A,w00_s005,-2,19.0,52,7,0.36538461538461536,late_flow_exec_churn,3
A,w01_s000,-2,3.0,15,15,0.2,late_flow_exec_churn,3
A,w01_s003,-2,7.0,15,15,0.4666666666666667,late_flow_exec_churn,3
A,w02_s000,-2,38.0,63,7,0.6031746031746031,late_flow_exec_churn,3
A,w02_s001,-2,35.0,63,7,0.5555555555555556,late_flow_exec_churn,3
A,w02_s002,-2,25.0,63,8,0.3968253968253968,late_flow_exec_churn,3
A,w02_s003,-2,30.0,59,10,0.5084745762711864,late_flow_exec_churn,3
A,w02_s004,-2,51.0,60,6,0.85,late_flow_exec_churn,3
A,w03_s001,-2,0.0,1,1,0.0,late_flow_exec_churn,3
A,w03_s004,-2,1.0,3,2,0.3333333333333333,late_flow_exec_churn,3
A,w03_s005,-2,14.0,14,1,1.0,late_flow_exec_churn,3
A,w00_s000,-2,13.0,55,5,0.23636363636363636,late_flow_exec_churn,4
A,w00_s001,-2,7.0,39,13,0.1794871794871795,late_flow_exec_churn,4
A,w00_s002,-2,27.0,64,8,0.421875,late_flow_exec_churn,4
A,w00_s003,-2,16.0,63,9,0.25396825396825395,late_flow_exec_churn,4
A,w00_s004,-2,25.0,63,7,0.3968253968253968,late_flow_exec_churn,4
A,w00_s005,-2,11.0,52,7,0.21153846153846154,late_flow_exec_churn,4
A,w01_s000,-2,1.0,15,15,0.06666666666666667,late_flow_exec_churn,4
A,w01_s003,-2,0.0,15,15,0.0,late_flow_exec_churn,4
A,w02_s000,-2,17.0,63,7,0.2698412698412698,late_flow_exec_churn,4
A,w02_s001,-2,18.0,63,7,0.2857142857142857,late_flow_exec_churn,4
A,w02_s002,-2,41.0,63,8,0.6507936507936508,late_flow_exec_churn,4
A,w02_s003,-2,25.0,59,10,0.423728813559322,late_flow_exec_churn,4
A,w02_s004,-2,35.0,60,6,0.5833333333333334,late_flow_exec_churn,4
A,w03_s001,-2,1.0,1,1,1.0,late_flow_exec_churn,4
A,w03_s004,-2,1.0,3,2,0.3333333333333333,late_flow_exec_churn,4
A,w03_s005,-2,7.0,14,1,0.5,late_flow_exec_churn,4
A,w00_s000,-2,22.0,55,5,0.4,late_flow_exec_churn,5
A,w00_s001,-2,15.0,39,13,0.38461538461538464,late_flow_exec_churn,5
A,w00_s002,-2,31.0,64,8,0.484375,late_flow_exec_churn,5
A,w00_s003,-2,30.0,63,9,0.47619047619047616,late_flow_exec_churn,5
A,w00_s004,-2,39.0,63,7,0.6190476190476191,late_flow_exec_churn,5
A,w00_s005,-2,31.0,52,7,0.5961538461538461,late_flow_exec_churn,5
A,w01_s000,-2,4.0,15,15,0.26666666666666666,late_flow_exec_churn,5
A,w01_s003,-2,0.0,15,15,0.0,late_flow_exec_churn,5
A,w02_s000,-2,40.0,63,7,0.6349206349206349,late_flow_exec_churn,5
A,w02_s001,-2,21.0,63,7,0.3333333333333333,late_flow_exec_churn,5
A,w02_s002,-2,28.0,63,8,0.4444444444444444,late_flow_exec_churn,5
A,w02_s003,-2,28.0,59,10,0.4745762711864407,late_flow_exec_churn,5
A,w02_s004,-2,22.0,60,6,0.36666666666666664,late_flow_exec_churn,5
A,w03_s001,-2,1.0,1,1,1.0,late_flow_exec_churn,5
A,w03_s004,-2,2.0,3,2,0.6666666666666666,late_flow_exec_churn,5
A,w03_s005,-2,11.0,14,1,0.7857142857142857,late_flow_exec_churn,5
A,w00_s000,-2,36.0,55,5,0.6545454545454545,late_flow_exec_churn,6
A,w00_s001,-2,26.0,39,13,0.6666666666666666,late_flow_exec_churn,6
A,w00_s002,-2,19.0,64,8,0.296875,late_flow_exec_churn,6
A,w00_s003,-2,37.0,63,9,0.5873015873015873,late_flow_exec_churn,6
A,w00_s004,-2,37.0,63,7,0.5873015873015873,late_flow_exec_churn,6
A,w00_s005,-2,27.0,52,7,0.5192307692307693,late_flow_exec_churn,6
A,w01_s000,-2,11.0,15,15,0.7333333333333333,late_flow_exec_churn,6
A,w01_s003,-2,9.0,15,15,0.6,late_flow_exec_churn,6
A,w02_s000,-2,38.0,63,7,0.6031746031746031,late_flow_exec_churn,6
A,w02_s001,-2,28.0,63,7,0.4444444444444444,late_flow_exec_churn,6
A,w02_s002,-2,26.0,63,8,0.4126984126984127,late_flow_exec_churn,6
A,w02_s003,-2,33.0,59,10,0.559322033898305,late_flow_exec_churn,6
A,w02_s004,-2,47.0,60,6,0.7833333333333333,late_flow_exec_churn,6
A,w03_s001,-2,1.0,1,1,1.0,late_flow_exec_churn,6
A,w03_s004,-2,0.0,3,2,0.0,late_flow_exec_churn,6
A,w03_s005,-2,6.0,14,1,0.42857142857142855,late_flow_exec_churn,6
A,w00_s000,-2,30.0,55,5,0.5454545454545454,late_flow_exec_churn,7
A,w00_s001,-2,27.0,39,13,0.6923076923076923,late_flow_exec_churn,7
A,w00_s002,-2,33.0,64,8,0.515625,late_flow_exec_churn,7
A,w00_s003,-2,39.0,63,9,0.6190476190476191,late_flow_exec_churn,7
A,w00_s004,-2,38.0,63,7,0.6031746031746031,late_flow_exec_churn,7
A,w00_s005,-2,33.0,52,7,0.6346153846153846,late_flow_exec_churn,7
A,w01_s000,-2,15.0,15,15,1.0,late_flow_exec_churn,7
A,w01_s003,-2,8.0,15,15,0.5333333333333333,late_flow_exec_churn,7
A,w02_s000,-2,28.0,63,7,0.4444444444444444,late_flow_exec_churn,7
A,w02_s001,-2,28.0,63,7,0.4444444444444444,late_flow_exec_churn,7
A,w02_s002,-2,25.0,63,8,0.3968253968253968,late_flow_exec_churn,7
A,w02_s003,-2,33.0,59,10,0.559322033898305,late_flow_exec_churn,7
A,w02_s004,-2,38.0,60,6,0.6333333333333333,late_flow_exec_churn,7
A,w03_s001,-2,0.0,1,1,0.0,late_flow_exec_churn,7
A,w03_s004,-2,3.0,3,2,1.0,late_flow_exec_churn,7
A,w03_s005,-2,3.0,14,1,0.21428571428571427,late_flow_exec_churn,7
A,w00_s000,-2,26.0,55,5,0.4727272727272727,late_flow_exec_churn,8
A,w00_s001,-2,11.0,39,13,0.28205128205128205,late_flow_exec_churn,8
A,w00_s002,-2,39.0,64,8,0.609375,late_flow_exec_churn,8
A,w00_s003,-2,11.0,63,9,0.1746031746031746,late_flow_exec_churn,8
A,w00_s004,-2,28.0,63,7,0.4444444444444444,late_flow_exec_churn,8
A,w00_s005,-2,17.0,52,7,0.3269230769230769,late_flow_exec_churn,8
A,w01_s000,-2,1.0,15,15,0.06666666666666667,late_flow_exec_churn,8
A,w01_s003,-2,5.0,15,15,0.3333333333333333,late_flow_exec_churn,8
