corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
A,loop,-2,exec_entropy,9,0.18208092485549132,0.8179190751445087,event_low,0.12101560859522643,0.2563136487829111,16,121,692,0.0004997501249375312,0.0034982508745627187
A,loop,-2,exec_entropy,10,0.21965317919075145,0.7803468208092486,event_low,0.1702328983420796,0.27551514644605973,16,121,692,0.0004997501249375312,0.014992503748125937
A,loop,-2,late_flow_support_churn,1,0.5469653179190751,0.5469653179190751,event_high,0.45572101468696397,0.6276922923641001,16,121,692,0.32283858070964516,1.0
A,loop,-2,late_flow_support_churn,2,0.4761560693641618,0.5238439306358382,event_low,0.41342164678614957,0.5461033780809859,16,121,692,0.519240379810095,1.0
A,loop,-2,late_flow_support_churn,3,0.46965317919075145,0.5303468208092486,event_low,0.38109393147502907,0.5690878602003442,16,121,692,0.552223888055972,1.0
A,loop,-2,late_flow_support_churn,4,0.36488439306358383,0.6351156069364161,event_low,0.2877359363549417,0.44773306768027826,16,121,692,0.01249375312343828,0.40679660169915044
A,loop,-2,late_flow_support_churn,5,0.47398843930635837,0.5260115606936416,event_low,0.416419137612686,0.5347607447019211,16,121,692,0.40679660169915044,1.0
A,loop,-2,late_flow_support_churn,6,0.5426300578034682,0.5426300578034682,event_high,0.4727663458969218,0.6127053545700288,16,121,692,0.3008495752123938,1.0
A,loop,-2,late_flow_support_churn,7,0.5469653179190751,0.5469653179190751,event_high,0.5,0.5943904124149659,16,121,692,0.07846076961519241,1.0
A,loop,-2,late_flow_support_churn,8,0.4234104046242775,0.5765895953757225,event_low,0.35319544483550913,0.4889604679692531,16,121,692,0.06096951524237881,0.9690154922538731
A,loop,-2,late_flow_support_churn,9,0.5158959537572254,0.5158959537572254,event_high,0.4214390154909399,0.6004101609884587,16,121,692,0.777111444277861,1.0
A,loop,-2,late_flow_support_churn,10,0.509393063583815,0.509393063583815,event_high,0.4581053249263623,0.5605594502729025,16,121,692,0.7456271864067966,1.0
A,loop,-2,late_flow_exec_churn,1,0.5549132947976878,0.5549132947976878,event_high,0.4517075831969449,0.6428687761749651,16,121,692,0.2683658170914543,1.0
A,loop,-2,late_flow_exec_churn,2,0.44942196531791906,0.550578034682081,event_low,0.38495663245006767,0.5142882836587872,16,121,692,0.16591704147926037,1.0
A,loop,-2,late_flow_exec_churn,3,0.4624277456647399,0.5375722543352601,event_low,0.36902764788403086,0.5632202095154953,16,121,692,0.48825587206396803,1.0
A,loop,-2,late_flow_exec_churn,4,0.3540462427745665,0.6459537572254335,event_low,0.2725796364744273,0.44561677631578944,16,121,692,0.009995002498750625,0.3378310844577711
A,loop,-2,late_flow_exec_churn,5,0.46965317919075145,0.5303468208092486,event_low,0.4103506710830944,0.5320876133996965,16,121,692,0.34132933533233384,1.0
A,loop,-2,late_flow_exec_churn,6,0.5505780346820809,0.5505780346820809,event_high,0.4724025444539003,0.6207510737825961,16,121,692,0.22188905547226387,1.0
A,loop,-2,late_flow_exec_churn,7,0.5505780346820809,0.5505780346820809,event_high,0.49678971406441186,0.6065885078642234,16,121,692,0.10344827586206896,1.0
A,loop,-2,late_flow_exec_churn,8,0.4147398843930636,0.5852601156069364,event_low,0.3338550026752274,0.4896701649175411,16,121,692,0.06096951524237881,0.9195402298850575
A,loop,-2,late_flow_exec_churn,9,0.5057803468208093,0.5057803468208093,event_high,0.411465557096625,0.5917791986426114,16,121,692,0.9230384807596201,1.0
A,loop,-2,late_flow_exec_churn,10,0.5101156069364162,0.5101156069364162,event_high,0.45801310556090813,0.5644897307355821,16,121,692,0.751624187906047,1.0
A,loop,-2,query_support_churn,1,0.5686416184971098,0.5686416184971098,event_high,0.4757603191626562,0.6599827713219742,16,121,692,0.18940529735132433,0.9905047476261869
A,loop,-2,query_support_churn,2,0.48916184971098264,0.5108381502890174,event_low,0.3772300117386201,0.6119956845536401,16,121,692,0.8755622188905547,1.0
A,loop,-2,query_support_churn,3,0.5144508670520231,0.5144508670520231,event_high,0.4037288750426767,0.6181643914241918,16,121,692,0.8065967016491754,1.0
A,loop,-2,query_support_churn,4,0.47832369942196534,0.5216763005780347,event_low,0.3783362661066016,0.5804264478077646,16,121,692,0.679160419790105,1.0
A,loop,-2,query_support_churn,5,0.5079479768786127,0.5079479768786127,event_high,0.39827121841037827,0.6225161424978336,16,121,692,0.9070464767616192,1.0
A,loop,-2,query_support_churn,6,0.5187861271676301,0.5187861271676301,event_high,0.43595470042044965,0.6013473442006675,16,121,692,0.6616691654172914,1.0
A,loop,-2,query_support_churn,7,0.5187861271676301,0.5187861271676301,event_high,0.429550155668078,0.6119649553891391,16,121,692,0.6951524237881059,1.0
A,loop,-2,query_support_churn,8,0.5802023121387283,0.5802023121387283,event_high,0.47566105769230765,0.6867222227625985,16,121,692,0.18190904547726136,0.9465267366316842
A,loop,-2,query_support_churn,9,0.6329479768786127,0.6329479768786127,event_high,0.5511787140113233,0.7140146033927807,16,121,692,0.010494752623688156,0.4352823588205897
A,loop,-2,query_support_churn,10,0.601878612716763,0.601878612716763,event_high,0.5114282968333902,0.6912190978188517,16,121,692,0.053973013493253376,0.7511244377811095
A,loop,-2,query_exec_churn,1,0.5635838150289018,0.5635838150289018,event_high,0.4639142509071379,0.660550093210656,16,121,692,0.24387806096951525,0.9965017491254373
A,loop,-2,query_exec_churn,2,0.4869942196531792,0.5130057803468209,event_low,0.3768768685198143,0.6077620950355017,16,121,692,0.841079460269865,1.0
