level,cohort,window,feature,scope,metric,estimate,lo,hi,tasks
same_task_query,B,q7_13,layer_agreement,excluding_S05,v82_auc,0.6046013690342815,0.5456643272963957,0.6657077999132419,35
same_task_query,B,q7_13,layer_agreement,excluding_S05,delta,-0.037259869858870164,-0.09919011220890027,0.03026408356283368,35
same_task_query,B,q7_13,layer_agreement,libero_goal,auc,0.5500011156813649,0.49150139075138616,0.6097733519063494,8
same_task_query,B,q7_13,layer_agreement,libero_goal,v82_auc,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
same_task_query,B,q7_13,layer_agreement,libero_goal,delta,0.05990567004303547,-0.038993531274681824,0.183533551891694,8
same_task_query,B,q7_13,layer_agreement,libero_long,auc,0.6123455637509042,0.5338771682942893,0.7066940809017931,10
same_task_query,B,q7_13,layer_agreement,libero_long,v82_auc,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
same_task_query,B,q7_13,layer_agreement,libero_long,delta,-0.010632918240502765,-0.10190706708949396,0.09150554465187713,10
same_task_query,B,q7_13,layer_agreement,libero_object,auc,0.5476256978847477,0.4794785954371077,0.6327118098923162,8
same_task_query,B,q7_13,layer_agreement,libero_object,v82_auc,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
same_task_query,B,q7_13,layer_agreement,libero_object,delta,-0.07817780709876507,-0.25036510991896627,0.10327786430620407,8
same_task_query,B,q7_13,layer_agreement,libero_spatial,auc,0.5585088360032173,0.47899279865570804,0.6399352844888705,10
same_task_query,B,q7_13,layer_agreement,libero_spatial,v82_auc,0.6507557288672241,0.561717231299168,0.7416246803857995,10
same_task_query,B,q7_13,layer_agreement,libero_spatial,delta,-0.09224689286400671,-0.20929258416027896,0.028473006367634578,10
same_task_query,B,q7_13,mobility_log_ratio,all,auc,0.5380871102589747,0.4972818188643522,0.5808907922035504,36
same_task_query,B,q7_13,mobility_log_ratio,all,v82_auc,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
same_task_query,B,q7_13,mobility_log_ratio,all,delta,-0.06370549289549887,-0.13786916895110568,0.011759201003061171,36
same_task_query,B,q7_13,mobility_log_ratio,excluding_S05,auc,0.543221652047262,0.5007623630858633,0.5831934021789574,35
same_task_query,B,q7_13,mobility_log_ratio,excluding_S05,v82_auc,0.6046013690342815,0.5456643272963957,0.6657077999132419,35
same_task_query,B,q7_13,mobility_log_ratio,excluding_S05,delta,-0.06137971698701962,-0.14290106929371088,0.015193333278249748,35
same_task_query,B,q7_13,mobility_log_ratio,libero_goal,auc,0.5211186865190338,0.4646455396114302,0.5751265539410431,8
same_task_query,B,q7_13,mobility_log_ratio,libero_goal,v82_auc,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
same_task_query,B,q7_13,mobility_log_ratio,libero_goal,delta,0.031023240880704395,-0.10469000905476832,0.21083812670083754,8
same_task_query,B,q7_13,mobility_log_ratio,libero_long,auc,0.3985685069054491,0.29360237387443994,0.4904730181586081,10
same_task_query,B,q7_13,mobility_log_ratio,libero_long,v82_auc,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
same_task_query,B,q7_13,mobility_log_ratio,libero_long,delta,-0.2244099750859579,-0.4249855885631614,-0.04986391490306016,10
same_task_query,B,q7_13,mobility_log_ratio,libero_object,auc,0.6852550345082756,0.616410816647955,0.7403257444188118,8
same_task_query,B,q7_13,mobility_log_ratio,libero_object,v82_auc,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
same_task_query,B,q7_13,mobility_log_ratio,libero_object,delta,0.05945152952476289,-0.0547295912900446,0.18350325250706626,8
same_task_query,B,q7_13,mobility_log_ratio,libero_spatial,auc,0.5734461132050123,0.4776654279599099,0.6644123406016501,10
same_task_query,B,q7_13,mobility_log_ratio,libero_spatial,v82_auc,0.6507557288672241,0.561717231299168,0.7416246803857995,10
same_task_query,B,q7_13,mobility_log_ratio,libero_spatial,delta,-0.07730961566221195,-0.18908491000096303,0.045216300125216206,10
same_task_query,B,q7_13,path_decoupling,all,auc,0.5661198663445426,0.531438045108181,0.6029173742437993,36
same_task_query,B,q7_13,path_decoupling,all,v82_auc,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
same_task_query,B,q7_13,path_decoupling,all,delta,-0.03567273680993085,-0.09378042159362868,0.023735018612901445,36
same_task_query,B,q7_13,path_decoupling,excluding_S05,auc,0.5657223831728753,0.5311015053172308,0.6039601023995391,35
same_task_query,B,q7_13,path_decoupling,excluding_S05,v82_auc,0.6046013690342815,0.5456643272963957,0.6657077999132419,35
same_task_query,B,q7_13,path_decoupling,excluding_S05,delta,-0.03887898586140615,-0.09922900724163525,0.0220938595748304,35
same_task_query,B,q7_13,path_decoupling,libero_goal,auc,0.5488090808847057,0.48192409419885035,0.6234783600828047,8
same_task_query,B,q7_13,path_decoupling,libero_goal,v82_auc,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
same_task_query,B,q7_13,path_decoupling,libero_goal,delta,0.058713635246376336,-0.0587343532177248,0.1909577976528976,8
same_task_query,B,q7_13,path_decoupling,libero_long,auc,0.5912067006375161,0.5160120670182026,0.6891379424385937,10
same_task_query,B,q7_13,path_decoupling,libero_long,v82_auc,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
same_task_query,B,q7_13,path_decoupling,libero_long,delta,-0.03177178135389075,-0.11674788517685626,0.04373163696132134,10
same_task_query,B,q7_13,path_decoupling,libero_object,auc,0.5531027657178947,0.5044369963313438,0.623282039887297,8
same_task_query,B,q7_13,path_decoupling,libero_object,v82_auc,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
same_task_query,B,q7_13,path_decoupling,libero_object,delta,-0.07270073926561799,-0.232649228220638,0.10016834497024368,8
same_task_query,B,q7_13,path_decoupling,libero_spatial,auc,0.5652953409207571,0.5131437485643711,0.6263542722305534,10
same_task_query,B,q7_13,path_decoupling,libero_spatial,v82_auc,0.6507557288672241,0.561717231299168,0.7416246803857995,10
same_task_query,B,q7_13,path_decoupling,libero_spatial,delta,-0.085460387946467,-0.1910747833902698,0.019341229661595703,10
same_task_query,B,q7_13,persistent_decoupling,all,auc,0.5327695691050554,0.5092245279511093,0.5613126006871496,34
same_task_query,B,q7_13,persistent_decoupling,all,v82_auc,0.6028851019232484,0.5233794769288322,0.6900790618692885,34
same_task_query,B,q7_13,persistent_decoupling,all,delta,-0.07011553281819316,-0.14974566306802234,0.008027415758615045,34
same_task_query,B,q7_13,persistent_decoupling,excluding_S05,auc,0.5337625863506632,0.5086854108613796,0.5638473164267626,33
same_task_query,B,q7_13,persistent_decoupling,excluding_S05,v82_auc,0.606753434234289,0.5258127420771624,0.6957557206278551,33
same_task_query,B,q7_13,persistent_decoupling,excluding_S05,delta,-0.07299084788362582,-0.15519683733846806,0.00368986475559951,33
same_task_query,B,q7_13,persistent_decoupling,libero_goal,auc,0.5292105380481958,0.5,0.5837432870850149,6
same_task_query,B,q7_13,persistent_decoupling,libero_goal,v82_auc,0.5036264280366253,0.2689423107221663,0.7588909711954814,6
same_task_query,B,q7_13,persistent_decoupling,libero_goal,delta,0.02558411001157059,-0.23451546358147024,0.2542858451084172,6
same_task_query,B,q7_13,persistent_decoupling,libero_long,auc,0.5704400088762382,0.5034732094432884,0.6599788814370678,10
same_task_query,B,q7_13,persistent_decoupling,libero_long,v82_auc,0.6411095937762463,0.5277282643417118,0.762251463685599,10
same_task_query,B,q7_13,persistent_decoupling,libero_long,delta,-0.07066958490000802,-0.1629966798997917,0.013031582741190595,10
same_task_query,B,q7_13,persistent_decoupling,libero_object,auc,0.5,0.5,0.5,8
same_task_query,B,q7_13,persistent_decoupling,libero_object,v82_auc,0.5649854052334523,0.37369294469644165,0.750384876655009,8
same_task_query,B,q7_13,persistent_decoupling,libero_object,delta,-0.06498540523345235,-0.25038487665500886,0.12630705530355793,8
same_task_query,B,q7_13,persistent_decoupling,libero_spatial,auc,0.5234502032520325,0.5,0.5520833333333333,10
same_task_query,B,q7_13,persistent_decoupling,libero_spatial,v82_auc,0.6545355717540616,0.5220462995281414,0.7935352387210097,10
same_task_query,B,q7_13,persistent_decoupling,libero_spatial,delta,-0.13108536850202915,-0.2780371152725473,0.015627754460834913,10
same_task_query,B,q7_13,recent_decoupling,all,auc,0.6380236911301721,0.5871085265034054,0.6899700049113464,34
same_task_query,B,q7_13,recent_decoupling,all,v82_auc,0.6028851019232484,0.5233794769288322,0.6900790618692885,34
same_task_query,B,q7_13,recent_decoupling,all,delta,0.03513858920692363,-0.049936030199263126,0.11656047142643927,34
same_task_query,B,q7_13,recent_decoupling,excluding_S05,auc,0.6391022709960696,0.5872466080965959,0.6943075224409198,33
same_task_query,B,q7_13,recent_decoupling,excluding_S05,v82_auc,0.606753434234289,0.5258127420771624,0.6957557206278551,33
same_task_query,B,q7_13,recent_decoupling,excluding_S05,delta,0.03234883676178069,-0.050303637850936715,0.11645443168552098,33
same_task_query,B,q7_13,recent_decoupling,libero_goal,auc,0.7087144808523753,0.5606300915492081,0.8730012404938489,6
same_task_query,B,q7_13,recent_decoupling,libero_goal,v82_auc,0.5036264280366253,0.2689423107221663,0.7588909711954814,6
same_task_query,B,q7_13,recent_decoupling,libero_goal,delta,0.20508805281575002,0.0911824387338438,0.3237891239286505,6
same_task_query,B,q7_13,recent_decoupling,libero_long,auc,0.6133035235441164,0.522884330735474,0.7180776262647764,10
same_task_query,B,q7_13,recent_decoupling,libero_long,v82_auc,0.6411095937762463,0.5277282643417118,0.762251463685599,10
same_task_query,B,q7_13,recent_decoupling,libero_long,delta,-0.02780607023212976,-0.08845311022643969,0.02884313910983365,10
same_task_query,B,q7_13,recent_decoupling,libero_object,auc,0.597787572090358,0.530236690332448,0.6884899393752635,8
same_task_query,B,q7_13,recent_decoupling,libero_object,v82_auc,0.5649854052334523,0.37369294469644165,0.750384876655009,8
same_task_query,B,q7_13,recent_decoupling,libero_object,delta,0.03280216685690571,-0.16645429074973,0.2555783108801946,8
same_task_query,B,q7_13,recent_decoupling,libero_spatial,auc,0.6525182801147572,0.5642190153512924,0.7466628758573671,10
same_task_query,B,q7_13,recent_decoupling,libero_spatial,v82_auc,0.6545355717540616,0.5220462995281414,0.7935352387210097,10
same_task_query,B,q7_13,recent_decoupling,libero_spatial,delta,-0.0020172916393044497,-0.19507241186495,0.18016421675436237,10
same_task_query,B,q7_13,token_diversity_contraction,all,auc,0.4527826828554903,0.42329327117614857,0.4812825555249718,36
same_task_query,B,q7_13,token_diversity_contraction,all,v82_auc,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
same_task_query,B,q7_13,token_diversity_contraction,all,delta,-0.14900992029898324,-0.2121769406495565,-0.08521888474539784,36
same_task_query,B,q7_13,token_diversity_contraction,excluding_S05,auc,0.44993014292144395,0.4209174289725078,0.47959570481377106,35
same_task_query,B,q7_13,token_diversity_contraction,excluding_S05,v82_auc,0.6046013690342815,0.5456643272963957,0.6657077999132419,35
same_task_query,B,q7_13,token_diversity_contraction,excluding_S05,delta,-0.15467122611283754,-0.2176452792467038,-0.0921463820375872,35
same_task_query,B,q7_13,token_diversity_contraction,libero_goal,auc,0.493206046410403,0.44960209400991574,0.5330346054242521,8
same_task_query,B,q7_13,token_diversity_contraction,libero_goal,v82_auc,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
same_task_query,B,q7_13,token_diversity_contraction,libero_goal,delta,0.003110600772073674,-0.08451647809818807,0.13784986769300256,8
same_task_query,B,q7_13,token_diversity_contraction,libero_long,auc,0.5169567156460678,0.45507317629443295,0.5764080479984808,10
same_task_query,B,q7_13,token_diversity_contraction,libero_long,v82_auc,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
same_task_query,B,q7_13,token_diversity_contraction,libero_long,delta,-0.10602176634533914,-0.24238582015168814,0.004208410515194932,10
same_task_query,B,q7_13,token_diversity_contraction,libero_object,auc,0.3447792795151823,0.2855205886578702,0.4108786867908131,8
same_task_query,B,q7_13,token_diversity_contraction,libero_object,v82_auc,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
same_task_query,B,q7_13,token_diversity_contraction,libero_object,delta,-0.2810242254683304,-0.4428443593787682,-0.11389773060030624,8
same_task_query,B,q7_13,token_diversity_contraction,libero_spatial,auc,0.44267268189322895,0.37564398848162867,0.501485770045623,10
same_task_query,B,q7_13,token_diversity_contraction,libero_spatial,v82_auc,0.6507557288672241,0.561717231299168,0.7416246803857995,10
same_task_query,B,q7_13,token_diversity_contraction,libero_spatial,delta,-0.20808304697399516,-0.3109646309698118,-0.10228395979930059,10
same_task_query,A,all_comparable_queries,acceleration_log_ratio,all,auc,0.6994450317917421,0.654335332671955,0.7448090735704502,35
same_task_query,A,all_comparable_queries,acceleration_log_ratio,excluding_S05,auc,0.7021429709130784,0.6552906888706942,0.7502042098339559,34
same_task_query,A,all_comparable_queries,acceleration_log_ratio,libero_goal,auc,0.6946411604871832,0.5586847883785369,0.823453773502398,8
same_task_query,A,all_comparable_queries,acceleration_log_ratio,libero_long,auc,0.5671836678637161,0.5143683907028891,0.6174729472568372,10
same_task_query,A,all_comparable_queries,acceleration_log_ratio,libero_object,auc,0.8539507376105892,0.7131656842563496,0.9414529126533021,8
same_task_query,A,all_comparable_queries,acceleration_log_ratio,libero_spatial,auc,0.7133338054768482,0.6527716029811015,0.7802164719422083,9
same_task_query,A,all_comparable_queries,decoupling,all,auc,0.5806585369029916,0.549445278838666,0.6114950223251243,35
same_task_query,A,all_comparable_queries,decoupling,excluding_S05,auc,0.5798282589585799,0.5463052860135728,0.6102146338075705,34
same_task_query,A,all_comparable_queries,decoupling,libero_goal,auc,0.5654721837698433,0.5058762199537951,0.6207802538952751,8
same_task_query,A,all_comparable_queries,decoupling,libero_long,auc,0.5938498693467983,0.5356319706624079,0.6579974916591811,10
