concept,kind,family,unit,task,valid_init_clusters,queries,geometry,state_soft_routing,geometry_plus_state_soft
target_quat_y,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9988476634996425,0.7676483805413796,0.9947518825742303
target_quat_y,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9989575239861476,0.7460302847327083,0.9971102704529003
target_quat_z,continuous,target_orientation,unitless,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.996571268544072,0.6176187638894658,0.9954281055042042
target_quat_z,continuous,target_orientation,unitless,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9999568564338124,0.2928009760792978,0.9999199333007444
target_quat_z,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9975237566025483,0.7552681030856179,0.9960622392445558
target_quat_z,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.998085158175138,0.5114270915059491,0.9969541751222167
target_tilt_rad,continuous,target_orientation,rad,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.902809491237898,0.5881694574686359,0.9094731956264719
target_tilt_rad,continuous,target_orientation,rad,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.4030925262625856,0.3822627674311989,0.43139795349360355
target_tilt_rad,continuous,target_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.625879230442522,0.5150820507410285,0.5981575607837408
target_tilt_rad,continuous,target_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.7753156739724981,0.7527683385558415,0.7983675102821517
target_minus_eef_x_m,continuous,relative_geometry,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.998975535329315,0.9561296326864219,0.9948548348396757
target_minus_eef_x_m,continuous,relative_geometry,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9994839455519782,0.9321091758716111,0.9974132835298409
