left,right,metric,delta,ci_low,ci_high,p_two_sided,bootstrap_draws,query,budget_per_head,family
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_recall,-0.005181347150259086,-0.02604166666666674,0.021276595744680882,0.8289,20000,30,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,loop_recall,-0.03508771929824561,-0.15068493150684936,0.0625,0.7854,20000,30,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,static_recall,0.006849315068493178,-0.030927835051546393,0.057975227502527475,0.8912,20000,30,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,macro_subtype_recall,-0.014119202114876273,-0.06047055828731631,0.027777777777777683,0.6317,20000,30,16,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_precision,-0.015625,-0.05859375,0.0234375,0.5317,20000,30,16,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_recall,-0.020725388601036232,-0.07647058823529407,0.03500000000000003,0.5248,20000,30,16,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,macro_subtype_recall,-0.006428743090603151,-0.08553359293937829,0.08980894048951509,0.8846,20000,30,16,hard_diagnostic
loop_soft_topk,single_soft_mean_topk,loop_recall,0.14035087719298245,0.05555555555555555,0.2545454545454546,0.0016,20000,34,4,soft
static_soft_topk,single_soft_mean_topk,static_recall,0.10958904109589043,0.05319148936170212,0.23728813559322032,0.0,20000,34,4,soft
double_soft_union,single_soft_mean_matched,trap_precision,0.03278688524590162,-0.024793388429751984,0.09917355371900827,0.3762,20000,34,4,soft
double_soft_union,single_soft_mean_matched,trap_recall,0.020725388601036288,-0.012821888412017176,0.09090909090909094,0.3728,20000,34,4,soft
double_soft_union,single_soft_mean_matched,loop_recall,0.03508771929824561,-0.0625,0.24,0.6393,20000,34,4,soft
double_soft_union,single_soft_mean_matched,static_recall,0.0273972602739726,-0.020547945205479423,0.12903225806451613,0.396,20000,34,4,soft
double_soft_union,single_soft_mean_matched,macro_subtype_recall,0.031242489786109107,-0.018977738245207366,0.14899015151515152,0.2934,20000,34,4,soft
double_soft_max_topk,single_soft_mean_topk,trap_precision,-0.03125,-0.125,0.0625,0.6209,20000,34,4,soft
