task,family,threshold,label,n_events,event_rate,n_Y0,n_Y1,n_clusters,n_mixed_clusters,n_in_mixed,n_Y0_in_mixed,n_Y1_in_mixed,setback_fraction,onset_med_Y0,onset_med_Y1,lead_med_Y0,lead_med_Y1,sentinel_auc_onset,passes_gate
spatial/ramekin,drop_separation,0.03,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,goal_regression,0.02,Y_local_h8,1,0.002,1,0,1,0,0,0,0,1.0,5.0,,16.0,,,False
spatial/ramekin,grasp_fail,0.08,Y_terminal,1,0.002,1,0,1,0,0,0,0,0.0,9.0,,7.0,,,False
spatial/ramekin,grasp_fail,0.08,Y_local_h4,1,0.002,1,0,1,0,0,0,0,0.0,9.0,,7.0,,,False
spatial/ramekin,heightloss,0.02,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,heightloss,0.03,Y_terminal,1,0.002,0,1,1,0,0,0,0,0.0,,7.0,,14.0,,False
spatial/ramekin,heightloss,0.03,Y_local_h4,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,heightloss,0.03,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,heightloss,0.05,Y_terminal,1,0.002,0,1,1,0,0,0,0,0.0,,7.0,,14.0,,False
spatial/ramekin,heightloss,0.05,Y_local_h4,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,heightloss,0.05,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,liftloss,0.01,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/ramekin,release_offgoal,0.0,Y_terminal,1,0.002,1,0,1,0,0,0,0,1.0,6.0,,10.0,,,False
spatial/ramekin,release_offgoal,0.0,Y_local_h4,1,0.002,1,0,1,0,0,0,0,1.0,6.0,,10.0,,,False
spatial/ramekin,release_offgoal,0.0,Y_local_h8,1,0.002,1,0,1,0,0,0,0,1.0,6.0,,10.0,,,False
spatial/stove,goal_regression,0.01,Y_local_h8,1,0.002,1,0,1,0,0,0,0,1.0,6.0,,8.0,,,False
spatial/stove,goal_regression,0.02,Y_local_h8,1,0.002,1,0,1,0,0,0,0,1.0,6.0,,8.0,,,False
spatial/stove,goal_regression,0.03,Y_local_h8,1,0.002,1,0,1,0,0,0,0,1.0,6.0,,8.0,,,False
