fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,unseen,1200,78,1122,78,103,1.0,0.09180035650623886,0.430939226519337,0.9540998217468806,0.5905982905982905,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.1,seen,560,12,548,7,70,0.5833333333333334,0.12773722627737227,0.09090909090909091,0.7277980535279807,0.8944444444444445,27.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.1,unseen,1200,78,1122,78,132,1.0,0.11764705882352941,0.37142857142857144,0.9411764705882353,0.5572649572649572,17.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.15,seen,560,12,548,8,93,0.6666666666666666,0.16970802919708028,0.07920792079207921,0.7484793187347931,0.8722222222222222,27.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.15,unseen,1200,78,1122,78,166,1.0,0.14795008912655971,0.319672131147541,0.9260249554367201,0.525213675213675,13.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.2,seen,560,12,548,8,123,0.6666666666666666,0.22445255474452555,0.061068702290076333,0.7211070559610705,0.8638888888888889,26.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.2,unseen,1200,78,1122,78,196,1.0,0.1746880570409982,0.2846715328467153,0.9126559714795008,0.49358974358974333,12.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.03,seen,560,12,548,2,9,0.16666666666666666,0.016423357664233577,0.18181818181818182,0.5751216545012166,0.9638888888888889,22.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.03,unseen,1200,78,1122,77,14,0.9871794871794872,0.012477718360071301,0.8461538461538461,0.987350884409708,0.7051282051282052,21.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,560,12,548,2,24,0.16666666666666666,0.043795620437956206,0.07692307692307693,0.5614355231143553,0.9638888888888889,22.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,unseen,1200,78,1122,78,49,1.0,0.04367201426024955,0.6141732283464567,0.9781639928698752,0.6606837606837604,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.1,seen,560,12,548,4,39,0.3333333333333333,0.07116788321167883,0.09302325581395349,0.6310827250608272,0.9500000000000001,26.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.1,unseen,1200,78,1122,78,90,1.0,0.08021390374331551,0.4642857142857143,0.9598930481283422,0.5995726495726493,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.15,seen,560,12,548,5,45,0.4166666666666667,0.08211678832116788,0.1,0.6672749391727494,0.9305555555555557,26.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.15,unseen,1200,78,1122,78,97,1.0,0.08645276292335116,0.44571428571428573,0.9567736185383244,0.5905982905982905,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.2,seen,560,12,548,6,49,0.5,0.08941605839416059,0.10909090909090909,0.7052919708029197,0.9249999999999999,26.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.2,unseen,1200,78,1122,78,105,1.0,0.09358288770053476,0.4262295081967213,0.9532085561497327,0.5858974358974357,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.01,seen,560,12,548,10,3,0.8333333333333334,0.005474452554744526,0.7692307692307693,0.9139294403892945,0.6138888888888889,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.01,unseen,1200,78,1122,45,30,0.5769230769230769,0.026737967914438502,0.6,0.7750925545043191,0.808974358974359,17.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.03,seen,560,12,548,12,20,1.0,0.0364963503649635,0.375,0.9817518248175182,0.34722222222222227,7.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.03,unseen,1200,78,1122,75,105,0.9615384615384616,0.09358288770053476,0.4166666666666667,0.9339777869189635,0.6367521367521368,17.0
